location,year,quarter,avg_price
amrutahalli,2030,Jan-Mar,10344.04688435095
amrutahalli,2030,Apr-Jun,10512.803819810586
amrutahalli,2030,Jul-Sep,10684.313923694932
amrutahalli,2030,Oct-Dec,10858.622112299454
anjanapura,2025,Jan-Mar,5843.012607109098
anjanapura,2025,Apr-Jun,5950.081881749824
anjanapura,2025,Jul-Sep,6059.113128808364
anjanapura,2025,Oct-Dec,6170.142300109192
anjanapura,2026,Jan-Mar,6283.206006269772
anjanapura,2026,Apr-Jun,6398.341528772504
anjanapura,2026,Jul-Sep,6515.586832257865
anjanapura,2026,Oct-Dec,6634.980577042829
anjanapura,2027,Jan-Mar,6756.5621318686635
anjanapura,2027,Apr-Jun,6880.371586882332
anjanapura,2027,Jul-Sep,7006.449766855767
anjanapura,2027,Oct-Dec,7134.838244647378
anjanapura,2028,Jan-Mar,7265.579354910233
anjanapura,2028,Apr-Jun,7398.716208051434
anjanapura,2028,Jul-Sep,7534.292704447285
anjanapura,2028,Oct-Dec,7672.353548918953
anjanapura,2029,Jan-Mar,7812.9442654733675
anjanapura,2029,Apr-Jun,7956.111212314259
anjanapura,2029,Jul-Sep,8101.90159712825
anjanapura,2029,Oct-Dec,8250.363492651053
anjanapura,2030,Jan-Mar,8401.545852518924
anjanapura,2030,Apr-Jun,8555.49852741056
anjanapura,2030,Jul-Sep,8712.272281484808
anjanapura,2030,Oct-Dec,8871.918809119565
arekere,2025,Jan-Mar,5785.785435306423
arekere,2025,Apr-Jun,5893.655177019966
arekere,2025,Jul-Sep,6003.536033958477
arekere,2025,Oct-Dec,6115.465501200593
arekere,2026,Jan-Mar,6229.481772880335
arekere,2026,Apr-Jun,6345.623755220237
arekere,2026,Jul-Sep,6463.931079807478
arekere,2026,Oct-Dec,6584.444117117519
arekere,2027,Jan-Mar,6707.203990289882
arekere,2027,Apr-Jun,6832.252589160762
arekere,2027,Jul-Sep,6959.632584557259
arekere,2027,Oct-Dec,7089.387442858116
arekere,2028,Jan-Mar,7221.561440825919
arekere,2028,Apr-Jun,7356.199680715836
arekere,2028,Jul-Sep,7493.348105666032
arekere,2028,Oct-Dec,7633.053515375033
arekere,2029,Jan-Mar,7775.363582071371
arekere,2029,Apr-Jun,7920.326866780961
arekere,2029,Jul-Sep,8067.992835897779
arekere,2029,Oct-Dec,8218.41187806347
arekere,2030,Jan-Mar,8371.63532136167
arekere,2030,Apr-Jun,8527.715450832877
arekere,2030,Jul-Sep,8686.705526315898
arekere,2030,Oct-Dec,8848.659800621903
attibele,2025,Jan-Mar,4489.326673398457
attibele,2025,Apr-Jun,4581.820533450078
attibele,2025,Jul-Sep,4676.2200499106975
attibele,2025,Oct-Dec,4772.56448513078
attibele,2026,Jan-Mar,4870.893910385293
attibele,2026,Apr-Jun,4971.249222540026
attibele,2026,Jul-Sep,5073.672161061287
attibele,2026,Oct-Dec,5178.20532537605
attibele,2027,Jan-Mar,5284.892192589774
attibele,2027,Apr-Jun,5393.777135569266
attibele,2027,Jul-Sep,5504.905441398102
attibele,2027,Oct-Dec,5618.323330212292
attibele,2028,Jan-Mar,5734.07797442401
attibele,2028,Apr-Jun,5852.217518341397
attibele,2028,Jul-Sep,5972.791098192593
attibele,2028,Oct-Dec,6095.8488625623195
attibele,2029,Jan-Mar,6221.441993249521
attibele,2029,Apr-Jun,6349.622726554741
attibele,2029,Jul-Sep,6480.444375006079
attibele,2029,Oct-Dec,6613.961349532768
attibele,2030,Jan-Mar,6750.229182095599
attibele,2030,Apr-Jun,6889.304548783601
attibele,2030,Jul-Sep,7031.245293386579
attibele,2030,Oct-Dec,7176.110451453323
avalahalli,2025,Jan-Mar,5203.981509018832
avalahalli,2025,Apr-Jun,5360.747366524787
avalahalli,2025,Jul-Sep,5522.235672417038
avalahalli,2025,Oct-Dec,5688.588686745801
avalahalli,2026,Jan-Mar,5859.952955033626
avalahalli,2026,Apr-Jun,6036.479437371878
avalahalli,2026,Jul-Sep,6218.323641406163
avalahalli,2026,Oct-Dec,6405.645759327828
avalahalli,2027,Jan-Mar,6598.610808992224
