Locality,Start_Price,End_Price,Quarterly_Growth,Quarterly Growth (%),CAGR,CAGR (%)
yelachenahalli,4400.0,6924.0,0.01907078027115916,1.9071,0.07849316508314574,7.85
nagavara,6981.0,10261.0,0.016177720213023772,1.6178,0.06629819717964858,6.63
yelahanka road,5150.0,7015.0,0.012960518777065166,1.2961,0.052858661780702754,5.29
marathahalli sarjapur outer ring road,7291.0,12793.0,0.02370397012378933,2.3704,0.09824074037627417,9.82
ambalipura sarjapur road,4850.0,10838.0,0.034070880808210635,3.4071,0.14340802157144328,14.34
akshayanagar,4951.0,8895.0,0.02471291390469532,2.4713,0.10257676877474409,10.26
medahalli kadugodi road,4300.0,10481.0,0.03782053829344001,3.7821,0.16008295084965685,16.01
aga abbas ali road,9750.0,15882.0,0.020538024072217942,2.0538,0.08471778942094943,8.47
medahalli main road,4145.0,6131.0,0.016444372802466134,1.6444,0.06741785609457773,6.74
nagarabhavi main road,4100.0,7276.0,0.024187650178428166,2.4188,0.10031780072096108,10.03
millers road,6823.0,14423.0,0.03167999577972713,3.168,0.1328699021516162,13.29
avalahalli,5144.0,10487.0,0.03012421493701889,3.0124,0.12605184028382,12.61
yeswanthpur,7815.0,12329.0,0.019177794717239127,1.9178,0.07894625443462422,7.89
msr college road,5459.0,10733.0,0.028569561608796645,2.857,0.11926950792636726,11.93
1 st main raod narayanpura,5278.0,9015.0,0.022556580075022037,2.2557,0.09332528209393876,9.33
11th main road malleshwaram,5700.0,9593.0,0.02192725697978637,2.1927,0.09063625758812077,9.06
amrutahalli,5236.0,7721.0,0.016314401640516563,1.6314,0.06687200455342457,6.69
marathahalli main road,6400.0,10268.0,0.019892532407046692,1.9893,0.08197605021265275,8.2
malleshwaram,11645.0,13099.0,0.004914494544833392,0.4914,0.019803367086985713,1.98
arekere,5467.0,8517.0,0.018643923615848657,1.8644,0.07668731281778252,7.67
yelahanka,5138.0,8010.0,0.018673325335719193,1.8673,0.07681162644153461,7.68
anjanapura,4123.0,6375.0,0.018324327164801257,1.8324,0.07533671904542838,7.53
marathahalli,6311.0,11548.0,0.025495340586020543,2.5495,0.10594814835901034,10.59
manayata tech park,5906.0,10326.0,0.023552079404833615,2.3552,0.09758908537330657,9.76
yelahanka airforce base,5641.0,7650.0,0.012774416796527133,1.2774,0.05208514657247698,5.21
anekal,3580.0,6093.0,0.02240470558410368,2.2405,0.09267588533983218,9.27
yelahanka new town,5050.0,7262.0,0.015251257543676733,1.5251,0.06241487924012623,6.24
kengeri,4225.0,5898.0,0.013996802758605043,1.3997,0.057173680821924755,5.72
battarahalli,4150.0,8591.0,0.03078118868615798,3.0781,0.12892720036435246,12.89
kodichikkanahalli main road,4900.0,6794.0,0.01370999271833373,1.371,0.055978097540603455,5.6
kasavanahalli main road,5400.0,9670.0,0.024573289681215194,2.4573,0.10197595673641047,10.2
vijaynagar,5819.0,8517.0,0.015998956938251263,1.5999,0.06554807380651284,6.55
begur road,4943.0,8546.0,0.02307430726478099,2.3074,0.09554119569668207,9.55
kengeri satellite town,4270.0,5681.0,0.011967437128674208,1.1967,0.048735942219018114,4.87
begur,4547.0,8234.0,0.0250504631169306,2.505,0.10403027970831413,10.4
bengaluru kanakpura road,4800.0,9331.0,0.02808405372469336,2.8084,0.11715772256399926,11.72
bellary road,5648.0,9101.0,0.020077341979676255,2.0077,0.08276050105283561,8.28
kathriguppe main road,5150.0,10063.0,0.028304359067344187,2.8304,0.11811560119078979,11.81
bellandur,6346.0,12530.0,0.028751445545972754,2.8751,0.12006140827900169,12.01
panathur,5993.0,12860.0,0.03232519950705681,3.2325,0.1357065098208936,13.57
basavanagudi,9634.0,11055.0,0.005749142672041296,0.5749,0.023195647726828694,2.32
vijaynagar main road,6050.0,9854.0,0.020533775437361568,2.0534,0.0846997262388951,8.47
benson town,9554.0,12546.0,0.011416424543550407,1.1416,0.04645367548482571,4.65
padmanabhanagar,4942.0,6368.0,0.010619126121147238,1.0619,0.04315790213687465,4.32
panathur main road,6700.0,12908.0,0.027699171512246545,2.7699,0.11548574743123208,11.55
kasavanahalli,5117.0,8336.0,0.020542108261860204,2.0542,0.08473515367255158,8.47
vidyaranyapura,4203.0,6672.0,0.019441620184884156,1.9442,0.08006387708795049,8.01
hoodi,5512.0,9002.0,0.020648594032647516,2.0649,0.08518795983492855,8.52
hormavu agara,3200.0,5491.0,0.0227533116116565,2.2753,0.0941669123674409,9.42
hormavu agara,3200.0,5800.0,0.02508902535409785,2.5089,0.10419642286521125,10.42
jigani,4583.0,4685.0,0.0009175919869828242,0.0918,0.0036754228893258745,0.37
bannerughatta,5989.0,11318.0,0.026874353497353676,2.6874,0.11190895881371943,11.19
rachenahalli,3612.0,10587.0,0.04582587390363746,4.5826,0.19629290927938903,19.63
horamavu agara,4488.0,4919.0,0.003828062117459341,0.3828,0.01540039742863053,1.54
