Locality,Quarter,Price Range,Average Price,Q-o-Q,Growth Type,City,Type
Ambawadi,Apr-Jun 2015,"4,944 - 6,643","5,793",-,,,
Ambawadi,Jan-Mar 2015,"4,785 - 6,583","5,684",2%,,,
Ambawadi,Oct-Dec 2014,"4,632 - 6,528","5,580",0.5,,,
,,,,,,,
Ambli,Oct-Dec 2024,"5,732 - 8,323","7,028",1%,,,
Ambli,Jul-Sep 2024,"5,608 - 8,267","6,938",5%,,,
Ambli,Apr-Jun 2024,"5,376 - 7,855","6,616",5%,,,
Ambli,Jan-Mar 2024,"4,892 - 7,761","6,327",7%,,,
Ambli,Oct-Dec 2023,"5,489 - 8,074","6,781",3%,,,
Ambli,Jul-Sep 2023,"5,092 - 8,027","6,560",2%,,,
Ambli,Apr-Jun 2023,"5,089 - 7,725","6,407",1%,,,
Ambli,Jan-Mar 2023,"4,997 - 7,722","6,360",1%,,,
Ambli,Oct-Dec 2022,"4,913 - 7,726","6,320",1%,,,
Ambli,Jul-Sep 2022,"4,738 - 7,763","6,250",6%,,,
Ambli,Apr-Jun 2022,"4,637 - 7,210","5,924",2%,,,
Ambli,Jan-Mar 2022,"4,730 - 7,371","6,050",-,,,
Ambli,Oct-Dec 2021,"4,652 - 7,205","5,928",2%,,,
Ambli,Jul-Sep 2021,"4,575 - 7,040","5,807",1%,,,
Ambli,Apr-Jun 2021,"4,498 - 6,879","5,688",2%,,,
Ambli,Jan-Mar 2021,"4,423 - 6,715","5,565",1%,,,
Ambli,Oct-Dec 2020,"4,351 - 6,550","5,451",1%,,,
Ambli,Jul-Sep 2020,"4,282 - 6,395","5,339",2%,,,
Ambli,Apr-Jun 2020,"4,215 - 6,270","5,243",1%,,,
Ambli,Jan-Mar 2020,"4,140 - 6,100","5,120",1%,,,
Ambli,Oct-Dec 2019,"4,080 - 6,010","5,045",1%,,,
Ambli,Jul-Sep 2019,"4,023 - 5,920","4,970",1%,,,
Ambli,Apr-Jun 2019,"3,965 - 5,830","4,895",1%,,,
Ambli,Jan-Mar 2019,"3,910 - 5,750","4,830",1%,,,
Ambli,Oct-Dec 2018,"3,855 - 5,670","4,760",2%,,,
Ambli,Jul-Sep 2018,"3,775 - 5,570","4,670",3%,,,
Ambli,Apr-Jun 2018,"3,689 - 5,470","4,580",3%,,,
Ambli,Jan-Mar 2018,"3,605 - 5,380","4,495",2%,,,
Ambli,Oct-Dec 2017,"3,525 - 5,290","4,410",2%,,,
Ambli,Jul-Sep 2017,"3,450 - 5,210","4,330",1%,,,
Ambli,Apr-Jun 2017,"3,375 - 5,130","4,250",2%,,,
Ambli,Jan-Mar 2017,"3,305 - 5,050","4,180",2%,,,
Ambli,Oct-Dec 2016,"3,235 - 4,970","4,100",0.50%,,,
Ambli,Jul-Sep 2016,"3,195 - 4,905","4,050",6%,,,
Ambli,Apr-Jun 2016,"3,120 - 4,825","3,975",3%,,,
Ambli,Jan-Mar 2016,"3,030 - 4,740","3,885",5%,,,
Ambli,Oct-Dec 2015,"2,875 - 4,560","3,720",4%,,,
Ambli,Jul-Sep 2015,"2,760 - 4,400","3,580",3%,,,
Ambli,Apr-Jun 2015,"2,690 - 4,320","3,505",2%,,,
Ambli,Jan-Mar 2015,"2,620 - 4,250","3,435",2%,,,
Ambli,Oct-Dec 2014,"2,570 - 4,180","3,375",1%,,,
,,,,,,,
Ambli Bopal Road,Oct-Dec 2024,"5,565 - 8,567","7,066",2%,,,
Ambli Bopal Road,Jul-Sep 2024,"5,528 - 8,874","7,201",4%,,,
Ambli Bopal Road,Apr-Jun 2024,"5,377 - 8,457","6,917",2%,,,
Ambli Bopal Road,Jan-Mar 2024,"5,342 - 8,195","6,768",1%,,,
Ambli Bopal Road,Oct-Dec 2023,"5,292 - 8,122","6,707",2%,,,
Ambli Bopal Road,Jul-Sep 2023,"5,249 - 7,869","6,559",1%,,,
Ambli Bopal Road,Apr-Jun 2023,"5,074 - 7,963","6,519",1%,,,
Ambli Bopal Road,Jan-Mar 2023,"4,924 - 7,991","6,458",5%,,,
Ambli Bopal Road,Oct-Dec 2022,"5,220 - 8,350","6,785",3%,,,
Ambli Bopal Road,Jul-Sep 2022,"5,456 - 8,529","6,992",1%,,,
Ambli Bopal Road,Apr-Jun 2022,"5,539 - 8,526","7,033",2%,,,
Ambli Bopal Road,Jan-Mar 2022,"5,331 - 8,396","6,864",4%,,,
Ambli Bopal Road,Oct-Dec 2021,"5,127 - 8,057","6,592",1%,,,
Ambli Bopal Road,Jul-Sep 2021,"5,254 - 8,031","6,642",5%,,,
Ambli Bopal Road,Apr-Jun 2021,"5,071 - 7,546","6,308",1%,,,
Ambli Bopal Road,Jan-Mar 2021,"5,283 - 7,420","6,351",2%,,,
Ambli Bopal Road,Oct-Dec 2020,"5,354 - 7,354","6,354",1%,,,
Ambli Bopal Road,Jul-Sep 2020,"5,495 - 7,363","6,429",4%,,,
Ambli Bopal Road,Apr-Jun 2020,"5,683 - 7,728","6,705",0.20%,,,
Ambli Bopal Road,Jan-Mar 2020,"5,615 - 7,827","6,721",1%,,,
Ambli Bopal Road,Oct-Dec 2019,"5,413 - 7,937","6,675",0.40%,,,
