Locality,Quarter,Price Range,Average Price,Q-o-Q,Growth Type,City,Type
Boakdev,Jan-Mar 2024,"6,752-9,624","8,188",0.50%,,,
Boakdev,Oct-Dec 2023,"6,638-9,659","8,149",3%,,,
Boakdev,Jul-Sep 2023,"6,455-9,366","7,911",8%,,,
Boakdev,Apr-Jun 2023,"6,180-8,456","7,318",2%,,,
Boakdev,Jan-Mar 2023,"6,025-8,390","7,208",1%,,,
Boakdev,Oct-Dec 2022,"6,008-8,248","7,128",2%,,,
Boakdev,Jul-Sep 2022,"5,873-8,155","7,014",1%,,,
Boakdev,Apr-Jun 2022,"5,836-8,071","6,954",2%,,,
Boakdev,Jan-Mar 2022,"5,696-7,955","6,826",2%,,,
Boakdev,Oct-Dec 2021,"5,677-7,660","6,669",1%,,,
Boakdev,Jul-Sep 2021,"5,633-7,635","6,634",1%,,,
Boakdev,Apr-Jun 2021,"5,521-7,569","6,545",0.40%,,,
Boakdev,Jan-Mar 2021,"5,451-7,592","6,521",3%,,,
Boakdev,Oct-Dec 2020,"5,446-7,235","6,340",1%,,,
Boakdev,Jul-Sep 2020,"5,357-7,180","6,268",1%,,,
Boakdev,Apr-Jun 2020,"5,420-7,181","6,301",3%,,,
Boakdev,Jan-Mar 2020,"5,558-7,499","6,528",1%,,,
Boakdev,Oct-Dec 2019,"5,569-7,632","6,600",1%,,,
Boakdev,Jul-Sep 2019,"5,582-7,515","6,548",-,,,
Boakdev,Apr-Jun 2019,"5,593-7,515","6,554",1%,,,
Boakdev,Jan-Mar 2019,"5,628-7,657","6,643",2%,,,
Boakdev,Oct-Dec 2018,"5,519-7,517","6,518",1%,,,
Boakdev,Jul-Sep 2018,"5,481-7,446","6,463",0.10%,,,
Boakdev,Apr-Jun 2018,"5,387-7,554","6,471",1%,,,
Boakdev,Jan-Mar 2018,"5,310-7,497","6,404",3%,,,
Boakdev,Oct-Dec 2017,"5,444-7,748","6,596",3%,,,
Boakdev,Jul-Sep 2017,"5,487-8,140","6,813",3%,,,
Boakdev,Apr-Jun 2017,"5,429-7,814","6,622",0.30%,,,
Boakdev,Jan-Mar 2017,"5,720-7,559","6,640",1%,,,
Boakdev,Oct-Dec 2016,"5,662-7,810","6,736",0.30%,,,
Boakdev,Jul-Sep 2016,"5,644-7,791","6,717",2%,,,
Boakdev,Apr-Jun 2016,"5,691-7,442","6,567",1%,,,
Boakdev,Jan-Mar 2016,"5,598-7,446","6,522",2%,,,
Boakdev,Oct-Dec 2015,"5,607-7,677","6,642",1%,,,
Boakdev,Jul-Sep 2015,"5,501-7,710","6,605",4%,,,
Boakdev,Apr-Jun 2015,"5,283-7,428","6,355",4%,,,
Boakdev,Jan-Mar 2015,"4,955-7,242","6,098",4%,,,
Boakdev,Oct-Dec 2014,"4,671-7,080","5,876",4%,,,
,,,,,,,
Bopal,Oct-Dec 2024,"5,464-8,182","6,823",0.20%,,,
Bopal,Jul-Sep 2024,"5,205-8,462","6,834",1%,,,
Bopal,Apr-Jun 2024,"5,191-8,373","6,782",2%,,,
Bopal,Jan-Mar 2024,"5,143-8,175","6,659",2%,,,
Bopal,Oct-Dec 2023,"5,172-7,942","6,557",1%,,,
Bopal,Jul-Sep 2023,"5,123-7,872","6,497",1%,,,
Bopal,Apr-Jun 2023,"4,882-8,011","6,447",8%,,,
Bopal,Jan-Mar 2023,"4,658-7,290","5,974",6%,,,
Bopal,Oct-Dec 2022,"4,755-7,916","6,336",3%,,,
Bopal,Jul-Sep 2022,"4,836-8,251","6,544",10%,,,
Bopal,Apr-Jun 2022,"4,601-7,261","5,931",4%,,,
Bopal,Jan-Mar 2022,"4,608-6,843","5,725",1%,,,
Bopal,Oct-Dec 2021,"4,564-6,984","5,774",2%,,,
Bopal,Jul-Sep 2021,"4,511-6,854","5,682",4%,,,
Bopal,Apr-Jun 2021,"4,338-6,537","5,438",3%,,,
Bopal,Jan-Mar 2021,"4,465-6,765","5,615",-,,,
Bopal,Oct-Dec 2020,"4,449-6,781","5,615",3%,,,
Bopal,Jul-Sep 2020,"4,341-6,602","5,471",4%,,,
Bopal,Apr-Jun 2020,"4,606-6,735","5,671",,,,
Bopal,Jan-Mar 2020,"4,701-6,636","5,668",0.40%,,,
Bopal,Oct-Dec 2019,"4,660-6,637","5,648",4%,,,
Bopal,Jul-Sep 2019,"4,436-6,439","5,437",0.30%,,,
Bopal,Apr-Jun 2019,"4,466-6,441","5,454",1%,,,
Bopal,Jan-Mar 2019,"4,442-6,546","5,494",4%,,,
Bopal,Oct-Dec 2018,"4,264-6,333","5,299",3%,,,
Bopal,Jul-Sep 2018,"4,106-6,219","5,163",3%,,,
Bopal,Apr-Jun 2018,"4,073-5,912","4,992",1%,,,
Bopal,Jan-Mar 2018,"3,975-6,088","5,032",5%,,,
Bopal,Oct-Dec 2017,"3,869-5,729","4,799",1%,,,
Bopal,Jul-Sep 2017,"3,928-5,743","4,836",2%,,,
Bopal,Apr-Jun 2017,"3,922-5,944","4,933",2%,,,
Bopal,Jan-Mar 2017,"3,760-5,928","4,844",1%,,,
Bopal,Oct-Dec 2016,"3,809-5,742","4,775",2%,,,
Bopal,Jul-Sep 2016,"3,859-5,525","4,692",9%,,,
Bopal,Apr-Jun 2016,"3,907-6,411","5,159",8%,,,
Bopal,Jan-Mar 2016,"3,725-5,805","4,765",11%,,,
Bopal,Oct-Dec 2015,"3,307-5,267","4,287",6%,,,
Bopal,Jul-Sep 2015,"3,620-5,463","4,542",3%,,,
Bopal,Apr-Jun 2015,"3,547-5,821","4,684",10%,,,
Bopal,Jan-Mar 2015,"3,082-5,460","4,271",12%,,,
Bopal,Oct-Dec 2014,"3,037-4,600","3,819",6%,,,
,,,,,,,
Chharodi,Oct-Dec 2024,"5,423 - 7,424","6,424",4%,,,
Chharodi,Jul-Sep 2024,"5,098 - 7,289","6,194",8%,,,
Chharodi,Apr-Jun 2024,"4,605 - 6,861","5,733",18%,,,
Chharodi,Jan-Mar 2024,"4,328 - 5,406","4,867",14%,,,
Chharodi,Oct-Dec 2023,"3,945 - 5,016","4,268",11%,,,
Chharodi,Jul-Sep 2023,"3,750 - 4,980","3,842",9%,,,
Chharodi,Apr-Jun 2023,"3,420 - 4,720","3,525",7%,,,
Chharodi,Jan-Mar 2023,"3,250 - 4,520","3,295",5%,,,
Chharodi,Oct-Dec 2022,"3,050 - 4,360","3,140",6%,,,
Chharodi,Jul-Sep 2022,"2,950 - 4,120","2,960",4%,,,
Chharodi,Apr-Jun 2022,"2,850 - 3,960","2,850",3%,,,
Chharodi,Jan-Mar 2022,"2,720 - 3,850","2,770",4%,,,
Chharodi,Oct-Dec 2021,"2,600 - 3,700","2,663",3%,,,
Chharodi,Jul-Sep 2021,"2,530 - 3,580","2,585",2%,,,
Chharodi,Apr-Jun 2021,"2,450 - 3,500","2,535",1.50%,,,
Chharodi,Jan-Mar 2021,"2,400 - 3,420","2,498",2%,,,
Chharodi,Oct-Dec 2020,"2,300 - 3,350","2,448",1.80%,,,
Chharodi,Jul-Sep 2020,"2,250 - 3,300","2,405",1.50%,,,
Chharodi,Apr-Jun 2020,"2,200 - 3,240","2,370",1%,,,
Chharodi,Jan-Mar 2020,"2,180 - 3,210","2,345",2%,,,
Chharodi,Oct-Dec 2019,"2,120 - 3,180","2,300",1.20%,,,
Chharodi,Jul-Sep 2019,"2,050 - 3,150","2,275",1.50%,,,
Chharodi,Apr-Jun 2019,"2,000 - 3,100","2,240",2%,,,
Chharodi,Jan-Mar 2019,"1,950 - 3,050","2,195",2.50%,,,
Chharodi,Oct-Dec 2018,"1,870 - 3,000","2,140",3%,,,
Chharodi,Jul-Sep 2018,"1,800 - 2,930","2,080",2%,,,
Chharodi,Apr-Jun 2018,"1,750 - 2,870","2,040",2.50%,,,
Chharodi,Jan-Mar 2018,"1,700 - 2,820","1,990",2%,,,
Chharodi,Oct-Dec 2017,"1,650 - 2,760","1,950",2.20%,,,
Chharodi,Jul-Sep 2017,"1,620 - 2,710","1,910",1.80%,,,
Chharodi,Apr-Jun 2017,"1,590 - 2,670","1,875",2%,,,
Chharodi,Jan-Mar 2017,"1,550 - 2,640","1,840",2.50%,,,
Chharodi,Oct-Dec 2016,"1,500 - 2,600","1,795",1.70%,,,
Chharodi,Jul-Sep 2016,"1,450 - 2,550","1,765",2%,,,
Chharodi,Apr-Jun 2016,"1,420 - 2,500","1,730",1.50%,,,
Chharodi,Jan-Mar 2016,"1,400 - 2,460","1,705",2%,,,
Chharodi,Oct-Dec 2015,"1,350 - 2,420","1,670",2%,,,
Chharodi,Jul-Sep 2015,"1,320 - 2,390","1,635",2.50%,,,
Chharodi,Apr-Jun 2015,"1,300 - 2,350","1,595",2.80%,,,
Chharodi,Jan-Mar 2015,"1,250 - 2,310","1,550",2%,,,
Chharodi,Oct-Dec 2014,"1,200 - 2,280","1,520",2.20%,,,
,,,,,,,
Chimanlal Girdharlal Road,Oct-Dec 2024,"5,894 - 9,250","7,572",2%,,,
Chimanlal Girdharlal Road,Jul-Sep 2024,"5,728 - 9,150","7,439",0.10%,,,
Chimanlal Girdharlal Road,Apr-Jun 2024,"5,790 - 9,069","7,429",1%,,,
Chimanlal Girdharlal Road,Jan-Mar 2024,"5,826 - 9,215","7,520",4%,,,
Chimanlal Girdharlal Road,Oct-Dec 2023,"5,716 - 8,799","7,257",0.50%,,,
Chimanlal Girdharlal Road,Jul-Sep 2023,"5,721 - 8,725","7,223",1%,,,
Chimanlal Girdharlal Road,Apr-Jun 2023,"5,653 - 8,582","7,117",4%,,,
Chimanlal Girdharlal Road,Jan-Mar 2023,"5,639 - 9,224","7,432",2%,,,
Chimanlal Girdharlal Road,Oct-Dec 2022,"5,551 - 8,968","7,259",1%,,,
Chimanlal Girdharlal Road,Jul-Sep 2022,"5,553 - 8,793","7,173",0.80%,,,
Chimanlal Girdharlal Road,Apr-Jun 2022,"5,480 - 8,745","7,115",1.50%,,,
Chimanlal Girdharlal Road,Jan-Mar 2022,"5,402 - 8,670","7,008",1.20%,,,
Chimanlal Girdharlal Road,Oct-Dec 2021,"5,350 - 8,520","6,925",1.50%,,,
Chimanlal Girdharlal Road,Jul-Sep 2021,"5,280 - 8,450","6,820",1.20%,,,
Chimanlal Girdharlal Road,Apr-Jun 2021,"5,200 - 8,380","6,740",1%,,,
Chimanlal Girdharlal Road,Jan-Mar 2021,"5,150 - 8,300","6,673",1.50%,,,
Chimanlal Girdharlal Road,Oct-Dec 2020,"5,100 - 8,250","6,570",0.80%,,,
Chimanlal Girdharlal Road,Jul-Sep 2020,"5,050 - 8,150","6,520",1%,,,
Chimanlal Girdharlal Road,Apr-Jun 2020,"5,000 - 8,120","6,455",1%,,,
Chimanlal Girdharlal Road,Jan-Mar 2020,"4,950 - 8,050","6,390",1.50%,,,
Chimanlal Girdharlal Road,Oct-Dec 2019,"4,900 - 7,950","6,295",1%,,,
Chimanlal Girdharlal Road,Jul-Sep 2019,"4,850 - 7,900","6,235",0.80%,,,
Chimanlal Girdharlal Road,Apr-Jun 2019,"4,800 - 7,850","6,180",1.20%,,,
Chimanlal Girdharlal Road,Jan-Mar 2019,"4,750 - 7,800","6,105",1.50%,,,
Chimanlal Girdharlal Road,Oct-Dec 2018,"4,700 - 7,720","6,015",2%,,,
Chimanlal Girdharlal Road,Jul-Sep 2018,"4,697 - 8,149","6,423",2%,,,
Chimanlal Girdharlal Road,Apr-Jun 2018,"4,835 - 7,719","6,277",2%,,,
Chimanlal Girdharlal Road,Jan-Mar 2018,"4,801 - 7,510","6,155",1.80%,,,
Chimanlal Girdharlal Road,Oct-Dec 2017,"4,750 - 7,460","6,040",1.50%,,,
Chimanlal Girdharlal Road,Jul-Sep 2017,"4,690 - 7,400","5,950",1.80%,,,
Chimanlal Girdharlal Road,Apr-Jun 2017,"4,650 - 7,350","5,845",1.20%,,,
Chimanlal Girdharlal Road,Jan-Mar 2017,"4,600 - 7,280","5,775",1.50%,,,
Chimanlal Girdharlal Road,Oct-Dec 2016,"4,550 - 7,250","5,690",1.80%,,,
Chimanlal Girdharlal Road,Jul-Sep 2016,"4,500 - 7,200","5,590",2%,,,
Chimanlal Girdharlal Road,Apr-Jun 2016,"5,240 - 7,375","6,307",4%,,,
Chimanlal Girdharlal Road,Jan-Mar 2016,"4,733 - 7,405","6,069",1%,,,
Chimanlal Girdharlal Road,Oct-Dec 2015,"4,733 - 7,303","6,018",6%,,,
Chimanlal Girdharlal Road,Jul-Sep 2015,"4,483 - 6,895","5,689",4%,,,
Chimanlal Girdharlal Road,Apr-Jun 2015,"4,588 - 7,213","5,900",2%,,,
Chimanlal Girdharlal Road,Jan-Mar 2015,"4,522 - 7,041","5,782",1%,,,
Chimanlal Girdharlal Road,Oct-Dec 2014,"4,459 - 6,937","5,698",6%,,,
,,,,,,,
Corporate Road,Oct-Dec 2024,"5,931 - 8,938","7,435",1%,,,
Corporate Road,Jul-Sep 2024,"5,885 - 8,812","7,349",1%,,,
Corporate Road,Apr-Jun 2024,"5,734 - 8,878","7,306",0.30%,,,
Corporate Road,Jan-Mar 2024,"5,710 - 8,940","7,325",2%,,,
Corporate Road,Oct-Dec 2023,"5,732 - 9,265","7,499",1%,,,
Corporate Road,Jul-Sep 2023,"5,827 - 9,284","7,556",1%,,,
Corporate Road,Apr-Jun 2023,"6,125 - 9,102","7,613",2%,,,
Corporate Road,Jan-Mar 2023,"6,244 - 9,260","7,752",3%,,,
Corporate Road,Oct-Dec 2022,"6,007 - 9,068","7,538",0.20%,,,
Corporate Road,Jul-Sep 2022,"6,165 - 8,936","7,551",5%,,,
Corporate Road,Apr-Jun 2022,"5,745 - 8,685","7,215",5%,,,
Corporate Road,Jan-Mar 2022,"6,533 - 8,700","7,616",1%,,,
Corporate Road,Oct-Dec 2021,"6,751 - 8,626","7,688",2%,,,
Corporate Road,Jul-Sep 2021,"6,568 - 8,574","7,571",0.80%,,,
Corporate Road,Apr-Jun 2021,"6,485 - 8,430","7,457",0.70%,,,
Corporate Road,Jan-Mar 2021,"6,400 - 8,380","7,375",1%,,,
Corporate Road,Oct-Dec 2020,"6,320 - 8,300","7,285",0.80%,,,
Corporate Road,Jul-Sep 2020,"6,200 - 8,150","7,175",1%,,,
Corporate Road,Apr-Jun 2020,"6,150 - 8,050","7,100",0.50%,,,
Corporate Road,Jan-Mar 2020,"6,100 - 8,000","7,040",0.80%,,,
Corporate Road,Oct-Dec 2019,"6,050 - 7,950","6,980",1.20%,,,
Corporate Road,Jul-Sep 2019,"6,000 - 7,900","6,900",1%,,,
Corporate Road,Apr-Jun 2019,"5,950 - 7,850","6,830",0.80%,,,
Corporate Road,Jan-Mar 2019,"5,900 - 7,800","6,770",1.20%,,,
Corporate Road,Oct-Dec 2018,"5,850 - 7,750","6,690",1.50%,,,
Corporate Road,Jul-Sep 2018,"5,800 - 7,700","6,590",1.80%,,,
Corporate Road,Apr-Jun 2018,"5,750 - 7,650","6,470",2%,,,
Corporate Road,Jan-Mar 2018,"5,700 - 7,600","6,350",1.80%,,,
Corporate Road,Oct-Dec 2017,"5,650 - 7,550","6,235",1.50%,,,
Corporate Road,Jul-Sep 2017,"5,600 - 7,500","6,150",1.80%,,,
Corporate Road,Apr-Jun 2017,"5,550 - 7,450","6,050",1.20%,,,
Corporate Road,Jan-Mar 2017,"5,500 - 7,400","5,980",1.50%,,,
Corporate Road,Oct-Dec 2016,"5,450 - 7,350","5,890",1.80%,,,
Corporate Road,Jul-Sep 2016,"5,400 - 7,300","5,780",2%,,,
Corporate Road,Apr-Jun 2016,"5,350 - 7,250","5,670",1.50%,,,
Corporate Road,Jan-Mar 2016,"5,300 - 7,200","5,580",1.20%,,,
Corporate Road,Oct-Dec 2015,"5,250 - 7,150","5,510",1.80%,,,
Corporate Road,Jul-Sep 2015,"5,200 - 7,100","5,420",1.50%,,,
Corporate Road,Apr-Jun 2015,"5,150 - 7,050","5,340",1.20%,,,
Corporate Road,Jan-Mar 2015,"5,100 - 7,000","5,270",1%,,,
Corporate Road,Oct-Dec 2014,"5,050 - 6,950","5,210",1.50%,,,
,,,,,,,
Drive In Road,Oct-Dec 2024,"6,218 - 9,747","7,982",3%,,,
Drive In Road,Jul-Sep 2024,"6,057 - 9,427","7,742",2%,,,
Drive In Road,Apr-Jun 2024,"6,083 - 9,093","7,588",4%,,,
Drive In Road,Jan-Mar 2024,"6,171 - 9,603","7,887",5%,,,
Drive In Road,Oct-Dec 2023,"5,802 - 9,242","7,522",2%,,,
Drive In Road,Jul-Sep 2023,"5,812 - 8,868","7,340",3%,,,
Drive In Road,Apr-Jun 2023,"5,785 - 8,504","7,145",2%,,,
Drive In Road,Jan-Mar 2023,"6,209 - 7,836","7,022",1%,,,
Drive In Road,Oct-Dec 2022,"6,214 - 7,936","7,075",4%,,,
Drive In Road,Jul-Sep 2022,"6,117 - 7,515","6,816",2.50%,,,
Drive In Road,Apr-Jun 2022,"6,050 - 7,450","6,650",2%,,,
Drive In Road,Jan-Mar 2022,"5,980 - 7,350","6,520",2.50%,,,
Drive In Road,Oct-Dec 2021,"5,850 - 7,250","6,370",3%,,,
Drive In Road,Jul-Sep 2021,"5,145 - 7,549","6,347",2%,,,
Drive In Road,Apr-Jun 2021,"4,981 - 7,415","6,198",7%,,,
Drive In Road,Jan-Mar 2021,"4,826 - 6,717","5,772",1%,,,
Drive In Road,Oct-Dec 2020,"4,845 - 6,772","5,809",1%,,,
Drive In Road,Jul-Sep 2020,"5,026 - 6,462","5,744",2%,,,
Drive In Road,Apr-Jun 2020,"4,952 - 6,305","5,629",1%,,,
Drive In Road,Jan-Mar 2020,"5,052 - 6,348","5,700",1%,,,
Drive In Road,Oct-Dec 2019,"5,090 - 6,467","5,778",0.10%,,,
Drive In Road,Jul-Sep 2019,"5,057 - 6,482","5,770",1%,,,
Drive In Road,Apr-Jun 2019,"5,163 - 6,314","5,738",0.30%,,,
Drive In Road,Jan-Mar 2019,"5,228 - 6,288","5,758",2%,,,
Drive In Road,Oct-Dec 2018,"5,209 - 6,511","5,860",1.50%,,,
Drive In Road,Jul-Sep 2018,"5,225 - 6,489","5,857",1.20%,,,
Drive In Road,Apr-Jun 2018,"5,197 - 6,515","5,856",1%,,,
Drive In Road,Jan-Mar 2018,"5,139 - 6,475","5,807",0.20%,,,
Drive In Road,Oct-Dec 2017,"5,194 - 6,392","5,793",2%,,,
Drive In Road,Jul-Sep 2017,"5,166 - 6,643","5,905",1%,,,
Drive In Road,Apr-Jun 2017,"5,153 - 6,768","5,961",2%,,,
Drive In Road,Jan-Mar 2017,"5,104 - 6,538","5,821",2%,,,
Drive In Road,Oct-Dec 2016,"5,131 - 6,713","5,922",1%,,,
Drive In Road,Jul-Sep 2016,"5,136 - 6,848","5,992",2%,,,
Drive In Road,Apr-Jun 2016,"4,967 - 6,832","5,900",3%,,,
Drive In Road,Jan-Mar 2016,"4,910 - 6,599","5,755",2%,,,
Drive In Road,Oct-Dec 2015,"4,742 - 6,538","5,640",3%,,,
Drive In Road,Jul-Sep 2015,"4,905 - 6,698","5,802",1%,,,
Drive In Road,Apr-Jun 2015,"4,768 - 6,772","5,770",3%,,,
Drive In Road,Jan-Mar 2015,"4,440 - 6,806","5,623",1.50%,,,
Drive In Road,Oct-Dec 2014,"4,350 - 6,600","5,500",2%,,,
,,,,,,,
Ellisbridge,Oct-Dec 2024,"5,706 - 9,874","7,790",-,,,
Ellisbridge,Jul-Sep 2024,"5,640 - 9,600","7,620",5%,,,
Ellisbridge,Apr-Jun 2024,"5,577 - 8,894","7,235",5%,,,
Ellisbridge,Jan-Mar 2024,"5,847 - 9,398","7,622",5%,,,
Ellisbridge,Oct-Dec 2023,"5,703 - 8,778","7,241",1%,,,
Ellisbridge,Jul-Sep 2023,"5,580 - 8,798","7,189",1.50%,,,
Ellisbridge,Apr-Jun 2023,"5,550 - 8,700","7,125",2%,,,
Ellisbridge,Jan-Mar 2023,"5,525 - 8,560","7,043",1.50%,,,
Ellisbridge,Oct-Dec 2022,"5,480 - 8,400","6,950",1.20%,,,
Ellisbridge,Jul-Sep 2022,"5,425 - 8,250","6,850",1%,,,
Ellisbridge,Apr-Jun 2022,"5,370 - 8,100","6,735",1.50%,,,
Ellisbridge,Jan-Mar 2022,"5,300 - 7,900","6,600",2%,,,
Ellisbridge,Oct-Dec 2021,"5,200 - 7,700","6,470",2%,,,
Ellisbridge,Jul-Sep 2021,"5,050 - 7,500","6,275",2%,,,
Ellisbridge,Apr-Jun 2021,"4,980 - 7,250","6,115",1.50%,,,
Ellisbridge,Jan-Mar 2021,"4,925 - 7,000","5,962",1%,,,
Ellisbridge,Oct-Dec 2020,"4,850 - 6,950","5,900",0.50%,,,
Ellisbridge,Jul-Sep 2020,"4,780 - 6,880","5,860",0.50%,,,
Ellisbridge,Apr-Jun 2020,"4,750 - 6,800","5,820",-,,,
Ellisbridge,Jan-Mar 2020,"4,740 - 6,750","5,800",-,,,
Ellisbridge,Oct-Dec 2019,"4,700 - 6,700","5,760",0.50%,,,
Ellisbridge,Jul-Sep 2019,"4,675 - 6,675","5,750",1%,,,
Ellisbridge,Apr-Jun 2019,"4,650 - 6,650","5,725",1%,,,
Ellisbridge,Jan-Mar 2019,"4,600 - 6,600","5,700",1.50%,,,
Ellisbridge,Oct-Dec 2018,"4,500 - 6,500","5,620",1%,,,
Ellisbridge,Jul-Sep 2018,"4,450 - 6,450","5,580",1.20%,,,
Ellisbridge,Apr-Jun 2018,"4,400 - 6,400","5,540",1%,,,
Ellisbridge,Jan-Mar 2018,"4,350 - 6,350","5,500",1%,,,
Ellisbridge,Oct-Dec 2017,"4,300 - 6,300","5,450",1.50%,,,
Ellisbridge,Jul-Sep 2017,"4,250 - 6,250","5,400",1.50%,,,
Ellisbridge,Apr-Jun 2017,"4,200 - 6,200","5,350",2%,,,
Ellisbridge,Jan-Mar 2017,"4,150 - 6,150","5,300",1.50%,,,
Ellisbridge,Oct-Dec 2016,"4,100 - 6,100","5,250",1.50%,,,
Ellisbridge,Jul-Sep 2016,"4,050 - 6,050","5,200",2%,,,
Ellisbridge,Apr-Jun 2016,"4,000 - 6,000","5,150",2%,,,
Ellisbridge,Jan-Mar 2016,"3,950 - 5,950","5,100",1.50%,,,
Ellisbridge,Oct-Dec 2015,"3,900 - 5,900","5,050",1.50%,,,
Ellisbridge,Jul-Sep 2015,"3,850 - 5,850","5,000",2%,,,
Ellisbridge,Apr-Jun 2015,"3,800 - 5,800","4,950",2%,,,
Ellisbridge,Jan-Mar 2015,"3,750 - 5,750","4,900",1.50%,,,
Ellisbridge,Oct-Dec 2014,"3,700 - 5,700","4,850",1.50%,,,
,,,,,,,
Friends Colony Bodakdev,Oct-Dec 2024,"7,578 - 10,723","9,151",0.30%,,,
Friends Colony Bodakdev,Jul-Sep 2024,"7,603 - 10,749","9,176",0.30%,,,
Friends Colony Bodakdev,Apr-Jun 2024,"7,570 - 10,700","9,120",0.50%,,,
Friends Colony Bodakdev,Jan-Mar 2024,"7,520 - 10,650","9,057",0.70%,,,
Friends Colony Bodakdev,Oct-Dec 2023,"7,460 - 10,580","8,986",0.80%,,,
Friends Colony Bodakdev,Jul-Sep 2023,"7,370 - 10,470","8,900",1.00%,,,
Friends Colony Bodakdev,Apr-Jun 2023,"7,240 - 10,340","8,790",1.20%,,,
Friends Colony Bodakdev,Jan-Mar 2023,"7,100 - 10,200","8,620",1.50%,,,
Friends Colony Bodakdev,Oct-Dec 2022,"6,950 - 10,050","8,410",1.80%,,,
Friends Colony Bodakdev,Jul-Sep 2022,"6,720 - 9,820","8,170",2.00%,,,
Friends Colony Bodakdev,Apr-Jun 2022,"6,500 - 9,600","7,900",2.20%,,,
Friends Colony Bodakdev,Jan-Mar 2022,"6,280 - 9,350","7,630",2.40%,,,
Friends Colony Bodakdev,Oct-Dec 2021,"6,080 - 9,120","7,370",2.50%,,,
Friends Colony Bodakdev,Jul-Sep 2021,"5,900 - 8,900","7,160",2.00%,,,
Friends Colony Bodakdev,Apr-Jun 2021,"5,750 - 8,720","6,980",1.80%,,,
Friends Colony Bodakdev,Jan-Mar 2021,"5,620 - 8,560","6,820",1.50%,,,
Friends Colony Bodakdev,Oct-Dec 2020,"5,520 - 8,450","6,700",1.30%,,,
Friends Colony Bodakdev,Jul-Sep 2020,"5,460 - 8,350","6,600",1.20%,,,
Friends Colony Bodakdev,Apr-Jun 2020,"5,420 - 8,280","6,540",1.00%,,,
Friends Colony Bodakdev,Jan-Mar 2020,"5,400 - 8,250","6,520",0.80%,,,
Friends Colony Bodakdev,Oct-Dec 2019,"5,370 - 8,200","6,500",0.70%,,,
Friends Colony Bodakdev,Jul-Sep 2019,"5,340 - 8,180","6,480",0.50%,,,
Friends Colony Bodakdev,Apr-Jun 2019,"5,300 - 8,140","6,450",0.30%,,,
Friends Colony Bodakdev,Jan-Mar 2019,"5,250 - 8,080","6,400",0.50%,,,
Friends Colony Bodakdev,Oct-Dec 2018,"5,190 - 8,010","6,340",0.40%,,,
Friends Colony Bodakdev,Jul-Sep 2018,"5,120 - 7,940","6,270",0.50%,,,
Friends Colony Bodakdev,Apr-Jun 2018,"5,050 - 7,870","6,200",0.70%,,,
Friends Colony Bodakdev,Jan-Mar 2018,"5,000 - 7,820","6,150",0.80%,,,
Friends Colony Bodakdev,Oct-Dec 2017,"4,950 - 7,750","6,090",1.00%,,,
Friends Colony Bodakdev,Jul-Sep 2017,"4,880 - 7,680","6,020",1.20%,,,
Friends Colony Bodakdev,Apr-Jun 2017,"4,820 - 7,620","5,950",1.30%,,,
Friends Colony Bodakdev,Jan-Mar 2017,"4,760 - 7,560","5,880",1.50%,,,
Friends Colony Bodakdev,Oct-Dec 2016,"4,700 - 7,500","5,820",1.60%,,,
Friends Colony Bodakdev,Jul-Sep 2016,"4,650 - 7,450","5,780",1.80%,,,
Friends Colony Bodakdev,Apr-Jun 2016,"4,600 - 7,400","5,740",2.00%,,,
Friends Colony Bodakdev,Jan-Mar 2016,"4,550 - 7,350","5,700",1.80%,,,
Friends Colony Bodakdev,Oct-Dec 2015,"4,500 - 7,300","5,650",1.60%,,,
Friends Colony Bodakdev,Jul-Sep 2015,"4,450 - 7,250","5,600",1.50%,,,
Friends Colony Bodakdev,Apr-Jun 2015,"4,400 - 7,200","5,550",1.40%,,,
Friends Colony Bodakdev,Jan-Mar 2015,"4,350 - 7,150","5,500",1.30%,,,
Friends Colony Bodakdev,Oct-Dec 2014,"4,300 - 7,100","5,450",1.20%,,,
,,,,,,,
Gala Gymkhana Road,Oct-Dec 2024,"5,438 - 8,209","6,823",0.40%,,,
Gala Gymkhana Road,Jul-Sep 2024,"5,420 - 8,190","6,796",0.50%,,,
Gala Gymkhana Road,Apr-Jun 2024,"5,218 - 8,373","6,796",3%,,,
Gala Gymkhana Road,Jan-Mar 2024,"5,125 - 8,082","6,603",2.80%,,,
Gala Gymkhana Road,Oct-Dec 2023,"5,000 - 7,880","6,420",2.60%,,,
Gala Gymkhana Road,Jul-Sep 2023,"4,870 - 7,690","6,260",2.50%,,,
Gala Gymkhana Road,Apr-Jun 2023,"4,750 - 7,500","6,110",2.40%,,,
Gala Gymkhana Road,Jan-Mar 2023,"4,640 - 7,320","5,970",2.30%,,,
Gala Gymkhana Road,Oct-Dec 2022,"4,540 - 7,150","5,840",2.20%,,,
Gala Gymkhana Road,Jul-Sep 2022,"4,450 - 7,000","5,720",2.00%,,,
Gala Gymkhana Road,Apr-Jun 2022,"4,360 - 6,860","5,600",1.90%,,,
Gala Gymkhana Road,Jan-Mar 2022,"4,290 - 6,750","5,490",1.80%,,,
Gala Gymkhana Road,Oct-Dec 2021,"4,210 - 6,620","5,400",1.60%,,,
Gala Gymkhana Road,Jul-Sep 2021,"4,140 - 6,500","5,310",1.40%,,,
