,Unnamed: 0,location,year,quarter,avg_price,max_price,min_price,location.1,latitude,longitude,Locality,Risk
41,41,Akurdi,2027,Apr-Jun,4683.26,5794.60112,3687.410603,Akurdi,18.64864175,73.76470807,Akurdi,Moderate
42,42,Akurdi,2027,Jul-Sep,4991,6175.368054,3929.712704,Akurdi,18.64864175,73.76470807,Akurdi,Moderate
43,43,Akurdi,2027,Oct-Dec,5173.29,6400.915608,4073.24052,Akurdi,18.64864175,73.76470807,Akurdi,Moderate
44,44,Akurdi,2028,Jan-Mar,5674.18,7020.667181,4467.621165,Akurdi,18.64864175,73.76470807,Akurdi,Moderate
45,45,Akurdi,2028,Apr-Jun,5787.48,7160.853357,4556.829029,Akurdi,18.64864175,73.76470807,Akurdi,Moderate
46,46,Akurdi,2028,Jul-Sep,5921.01,7326.070126,4661.965181,Akurdi,18.64864175,73.76470807,Akurdi,Moderate
47,47,Akurdi,2028,Oct-Dec,6091.358333,7536.842247,4796.090609,Akurdi,18.64864175,73.76470807,Akurdi,Moderate
48,48,Akurdi,2029,Jan-Mar,6651.71,8230.165786,5237.288979,Akurdi,18.64864175,73.76470807,Akurdi,Moderate
49,49,Akurdi,2029,Apr-Jun,6652.68,8231.365967,5238.052718,Akurdi,18.64864175,73.76470807,Akurdi,Moderate
50,50,Akurdi,2029,Jul-Sep,6608.166667,8176.289586,5203.004709,Akurdi,18.64864175,73.76470807,Akurdi,Moderate
51,51,Akurdi,2029,Oct-Dec,6800.853333,8414.700944,5354.718442,Akurdi,18.64864175,73.76470807,Akurdi,Moderate
52,52,Akurdi,2030,Jan-Mar,7038.351667,8708.557811,5541.71508,Akurdi,18.64864175,73.76470807,Akurdi,Moderate
53,53,Akurdi,2030,Apr-Jun,7030.871667,8699.302801,5535.825628,Akurdi,18.64864175,73.76470807,Akurdi,Moderate
54,54,Akurdi,2030,Jul-Sep,6246.799167,7729.169307,4918.478471,Akurdi,18.64864175,73.76470807,Akurdi,Moderate
55,55,Akurdi,2030,Oct-Dec,6178.499667,7644.662284,4864.702191,Akurdi,18.64864175,73.76470807,Akurdi,Moderate
56,56,Alandi,2024,Jan-Mar,4578.81,5524.533965,3633.125583,Alandi,18.67832591,73.89471908,Alandi,Low
57,57,Alandi,2024,Apr-Jun,4567.635,5511.05084,3624.258612,Alandi,18.67832591,73.89471908,Alandi,Low
58,58,Alandi,2024,Jul-Sep,4517.342,5450.370142,3584.352875,Alandi,18.67832591,73.89471908,Alandi,Low
59,59,Alandi,2024,Oct-Dec,4620.726667,5575.108252,3666.384992,Alandi,18.67832591,73.89471908,Alandi,Low
60,60,Alandi,2025,Jan-Mar,4803.515,5795.650348,3811.421141,Alandi,18.67832591,73.89471908,Alandi,Low
61,61,Alandi,2025,Apr-Jun,4760.2105,5743.40158,3777.060535,Alandi,18.67832591,73.89471908,Alandi,Low
