Location,Latitude,Longitude
100 Feet Anand Nagar Road,,
Sindhu Bhavan Marg,,
Sola,23.069237,72.5111307
Sola Road,23.056949915222322,72.54032036852736
Sola Road,23.056949915222322,72.54032036852736
South Bopal,23.023538549999998,72.47052697610516
South Bopal,23.023538549999998,72.47052697610516
Thaltej,23.0485393,72.511742
Thaltej,23.0485393,72.511742
Thaltej Shilaj Road,23.05261461922038,72.48171560438053
Thaltej Shilaj Road,23.05261461922038,72.48171560438053
Tragad Road,23.122576518900644,72.56012978479437
Tragad Road,23.122576518900644,72.56012978479437
Ullaria Road,,
Umiya Dham Road,,
University Road,23.03890210280218,72.55194540907226
Usmanpura,23.0494863,72.5672615
Vaishnodevi Circle,,
Vaishnodevi Circle,,
Vandematram Arcade,,
Vasna,23.0020055,72.5472413
Vastral,22.9948656,72.6624431
Vastral Road,22.998432078076167,72.66294564014521
Vastrapur,23.0400861,72.5290418
Vastrapur,23.0400861,72.5290418
Vatva,22.9589978,72.6297981
Vejalpur,23.0069372,72.5208415
Vejalpur Road,23.0034513,72.5189187
Vijay Cross Road,,
Vijay Cross Road,,
Zalod Ahmedabad Highway,,
Zundal,,
