,location,quarter,year,avg_price,Locality,Final Risk Calculated,Unnamed: 2
61,Adi Shankaracharya Marg,Apr-Jun,2025.0,31031.0,Adi Shankaracharya Marg,Moderate Risk,
62,Adi Shankaracharya Marg,Jul-Sep,2025.0,27971.0,Adi Shankaracharya Marg,Moderate Risk,
63,Adi Shankaracharya Marg,Oct-Dec,2025.0,27540.0,Adi Shankaracharya Marg,Moderate Risk,
64,Adi Shankaracharya Marg,Jan-Mar,2026.0,27212.0,Adi Shankaracharya Marg,Moderate Risk,
65,Adi Shankaracharya Marg,Apr-Jun,2026.0,27127.5,Adi Shankaracharya Marg,Moderate Risk,
66,Adi Shankaracharya Marg,Jul-Sep,2026.0,27136.0,Adi Shankaracharya Marg,Moderate Risk,
67,Adi Shankaracharya Marg,Oct-Dec,2026.0,26830.68,Adi Shankaracharya Marg,Moderate Risk,
68,Adi Shankaracharya Marg,Jan-Mar,2027.0,27346.0,Adi Shankaracharya Marg,Moderate Risk,
69,Adi Shankaracharya Marg,Apr-Jun,2027.0,27338.5,Adi Shankaracharya Marg,Moderate Risk,
70,Adi Shankaracharya Marg,Jul-Sep,2027.0,27519.0,Adi Shankaracharya Marg,Moderate Risk,
71,Adi Shankaracharya Marg,Oct-Dec,2027.0,27088.77,Adi Shankaracharya Marg,Moderate Risk,
72,Adi Shankaracharya Marg,Jan-Mar,2028.0,28549.0,Adi Shankaracharya Marg,Moderate Risk,
73,Adi Shankaracharya Marg,Apr-Jun,2028.0,28680.0,Adi Shankaracharya Marg,Moderate Risk,
74,Adi Shankaracharya Marg,Jul-Sep,2028.0,28204.0,Adi Shankaracharya Marg,Moderate Risk,
75,Adi Shankaracharya Marg,Oct-Dec,2028.0,28268.0,Adi Shankaracharya Marg,Moderate Risk,
76,Adi Shankaracharya Marg,Jan-Mar,2029.0,28727.5,Adi Shankaracharya Marg,Moderate Risk,
77,Adi Shankaracharya Marg,Apr-Jun,2029.0,28806.0,Adi Shankaracharya Marg,Moderate Risk,
78,Adi Shankaracharya Marg,Jul-Sep,2029.0,29003.5,Adi Shankaracharya Marg,Moderate Risk,
79,Adi Shankaracharya Marg,Oct-Dec,2029.0,28892.09,Adi Shankaracharya Marg,Moderate Risk,
80,Adi Shankaracharya Marg,Jan-Mar,2030.0,29703.5,Adi Shankaracharya Marg,Moderate Risk,
81,Adi Shankaracharya Marg,Apr-Jun,2030.0,29824.0,Adi Shankaracharya Marg,Moderate Risk,
82,Adi Shankaracharya Marg,Jul-Sep,2030.0,29744.5,Adi Shankaracharya Marg,Moderate Risk,
83,Adi Shankaracharya Marg,Oct-Dec,2030.0,29883.0,Adi Shankaracharya Marg,Moderate Risk,
84,Agrawal Road,Jan-Mar,2024.0,19960.38,Agrawal Road,High Risk,
85,Agrawal Road,Apr-Jun,2024.0,19881.59,Agrawal Road,High Risk,
86,Agrawal Road,Jul-Sep,2024.0,19590.84,Agrawal Road,High Risk,
87,Agrawal Road,Oct-Dec,2024.0,19638.84,Agrawal Road,High Risk,
88,Agrawal Road,Jan-Mar,2025.0,19825.0,Agrawal Road,High Risk,
89,Agrawal Road,Apr-Jun,2025.0,19374.5,Agrawal Road,High Risk,
90,Agrawal Road,Jul-Sep,2025.0,17730.22,Agrawal Road,High Risk,
91,Agrawal Road,Oct-Dec,2025.0,17260.6,Agrawal Road,High Risk,
92,Agrawal Road,Jan-Mar,2026.0,17310.5,Agrawal Road,High Risk,
93,Agrawal Road,Apr-Jun,2026.0,17259.5,Agrawal Road,High Risk,
94,Agrawal Road,Jul-Sep,2026.0,17290.0,Agrawal Road,High Risk,
95,Agrawal Road,Oct-Dec,2026.0,17230.4,Agrawal Road,High Risk,
96,Agrawal Road,Jan-Mar,2027.0,17511.0,Agrawal Road,High Risk,
97,Agrawal Road,Apr-Jun,2027.0,17527.5,Agrawal Road,High Risk,
98,Agrawal Road,Jul-Sep,2027.0,17605.5,Agrawal Road,High Risk,
99,Agrawal Road,Oct-Dec,2027.0,17690.77,Agrawal Road,High Risk,
100,Agrawal Road,Jan-Mar,2028.0,18826.92,Agrawal Road,High Risk,
101,Agrawal Road,Apr-Jun,2028.0,18511.5,Agrawal Road,High Risk,
102,Agrawal Road,Jul-Sep,2028.0,18386.5,Agrawal Road,High Risk,
103,Agrawal Road,Oct-Dec,2028.0,18431.5,Agrawal Road,High Risk,
104,Agrawal Road,Jan-Mar,2029.0,19428.02,Agrawal Road,High Risk,
105,Agrawal Road,Apr-Jun,2029.0,19344.14,Agrawal Road,High Risk,
106,Agrawal Road,Jul-Sep,2029.0,19295.0,Agrawal Road,High Risk,
107,Agrawal Road,Oct-Dec,2029.0,19404.19,Agrawal Road,High Risk,
108,Agrawal Road,Jan-Mar,2030.0,19960.38,Agrawal Road,High Risk,
109,Agrawal Road,Apr-Jun,2030.0,19881.59,Agrawal Road,High Risk,
110,Agrawal Road,Jul-Sep,2030.0,19590.84,Agrawal Road,High Risk,
111,Agrawal Road,Oct-Dec,2030.0,19638.84,Agrawal Road,High Risk,
112,Akurli Nagar,Jan-Mar,2024.0,16107.28,Akurli Nagar,Moderate Risk,
113,Akurli Nagar,Apr-Jun,2024.0,16370.97,Akurli Nagar,Moderate Risk,
114,Akurli Nagar,Jul-Sep,2024.0,16680.06333,Akurli Nagar,Moderate Risk,
115,Akurli Nagar,Oct-Dec,2024.0,16627.39,Akurli Nagar,Moderate Risk,
116,Akurli Nagar,Jan-Mar,2025.0,18575.79,Akurli Nagar,Moderate Risk,
117,Akurli Nagar,Apr-Jun,2025.0,19282.64,Akurli Nagar,Moderate Risk,
118,Akurli Nagar,Jul-Sep,2025.0,15206.58067,Akurli Nagar,Moderate Risk,
119,Akurli Nagar,Oct-Dec,2025.0,14311.93667,Akurli Nagar,Moderate Risk,
120,Akurli Nagar,Jan-Mar,2026.0,15737.13,Akurli Nagar,Moderate Risk,
121,Akurli Nagar,Apr-Jun,2026.0,15631.27,Akurli Nagar,Moderate Risk,
122,Akurli Nagar,Jul-Sep,2026.0,15843.39,Akurli Nagar,Moderate Risk,
123,Akurli Nagar,Oct-Dec,2026.0,15726.52,Akurli Nagar,Moderate Risk,
124,Akurli Nagar,Jan-Mar,2027.0,15827.18,Akurli Nagar,Moderate Risk,
125,Akurli Nagar,Apr-Jun,2027.0,15748.18,Akurli Nagar,Moderate Risk,
126,Akurli Nagar,Jul-Sep,2027.0,15818.26,Akurli Nagar,Moderate Risk,
127,Akurli Nagar,Oct-Dec,2027.0,15741.92,Akurli Nagar,Moderate Risk,
128,Akurli Nagar,Jan-Mar,2028.0,14755.81,Akurli Nagar,Moderate Risk,
129,Akurli Nagar,Apr-Jun,2028.0,14738.75,Akurli Nagar,Moderate Risk,
130,Akurli Nagar,Jul-Sep,2028.0,14494.342,Akurli Nagar,Moderate Risk,
131,Akurli Nagar,Oct-Dec,2028.0,14361.64,Akurli Nagar,Moderate Risk,
132,Akurli Nagar,Jan-Mar,2029.0,15009.04,Akurli Nagar,Moderate Risk,
133,Akurli Nagar,Apr-Jun,2029.0,15230.64,Akurli Nagar,Moderate Risk,
134,Akurli Nagar,Jul-Sep,2029.0,15493.78,Akurli Nagar,Moderate Risk,
135,Akurli Nagar,Oct-Dec,2029.0,15586.21,Akurli Nagar,Moderate Risk,
136,Akurli Nagar,Jan-Mar,2030.0,16107.28,Akurli Nagar,Moderate Risk,
137,Akurli Nagar,Apr-Jun,2030.0,16370.97,Akurli Nagar,Moderate Risk,
138,Akurli Nagar,Jul-Sep,2030.0,16680.06333,Akurli Nagar,Moderate Risk,
139,Akurli Nagar,Oct-Dec,2030.0,16627.39,Akurli Nagar,Moderate Risk,
140,Akurli Road,Jan-Mar,2024.0,17554.64,Akurli Road,Moderate Risk,
141,Akurli Road,Apr-Jun,2024.0,17778.06,Akurli Road,Moderate Risk,
142,Akurli Road,Jul-Sep,2024.0,17752.86,Akurli Road,Moderate Risk,
143,Akurli Road,Oct-Dec,2024.0,17929.06667,Akurli Road,Moderate Risk,
144,Akurli Road,Jan-Mar,2025.0,18816.26,Akurli Road,Moderate Risk,
145,Akurli Road,Apr-Jun,2025.0,19188.55,Akurli Road,Moderate Risk,
146,Akurli Road,Jul-Sep,2025.0,14177.40733,Akurli Road,Moderate Risk,
147,Akurli Road,Oct-Dec,2025.0,13560.11,Akurli Road,Moderate Risk,
148,Akurli Road,Jan-Mar,2026.0,9822.34,Akurli Road,Moderate Risk,
149,Akurli Road,Apr-Jun,2026.0,9755.0,Akurli Road,Moderate Risk,
150,Akurli Road,Jul-Sep,2026.0,10120.0,Akurli Road,Moderate Risk,
151,Akurli Road,Oct-Dec,2026.0,10490.0,Akurli Road,Moderate Risk,
152,Akurli Road,Jan-Mar,2027.0,11200.0,Akurli Road,Moderate Risk,
153,Akurli Road,Apr-Jun,2027.0,11615.0,Akurli Road,Moderate Risk,
154,Akurli Road,Jul-Sep,2027.0,11950.0,Akurli Road,Moderate Risk,
155,Akurli Road,Oct-Dec,2027.0,12260.0,Akurli Road,Moderate Risk,
156,Akurli Road,Jan-Mar,2028.0,13473.74,Akurli Road,Moderate Risk,
157,Akurli Road,Apr-Jun,2028.0,13817.21,Akurli Road,Moderate Risk,
158,Akurli Road,Jul-Sep,2028.0,14013.89867,Akurli Road,Moderate Risk,
159,Akurli Road,Oct-Dec,2028.0,13729.28667,Akurli Road,Moderate Risk,
160,Akurli Road,Jan-Mar,2029.0,15266.29,Akurli Road,Moderate Risk,
161,Akurli Road,Apr-Jun,2029.0,15485.64,Akurli Road,Moderate Risk,
162,Akurli Road,Jul-Sep,2029.0,16208.06,Akurli Road,Moderate Risk,
163,Akurli Road,Oct-Dec,2029.0,16593.39,Akurli Road,Moderate Risk,
164,Akurli Road,Jan-Mar,2030.0,17554.64,Akurli Road,Moderate Risk,
165,Akurli Road,Apr-Jun,2030.0,17778.06,Akurli Road,Moderate Risk,
166,Akurli Road,Jul-Sep,2030.0,17752.86,Akurli Road,Moderate Risk,
167,Akurli Road,Oct-Dec,2030.0,17929.06667,Akurli Road,Moderate Risk,
168,Ambedkar Road,Jan-Mar,2024.0,17915.97,Ambedkar Road,High Risk,
169,Ambedkar Road,Apr-Jun,2024.0,18312.39,Ambedkar Road,High Risk,
170,Ambedkar Road,Jul-Sep,2024.0,18297.518,Ambedkar Road,High Risk,
171,Ambedkar Road,Oct-Dec,2024.0,17022.14,Ambedkar Road,High Risk,
172,Ambedkar Road,Jan-Mar,2025.0,18067.48,Ambedkar Road,High Risk,
173,Ambedkar Road,Apr-Jun,2025.0,18189.194,Ambedkar Road,High Risk,
174,Ambedkar Road,Jul-Sep,2025.0,13041.35186,Ambedkar Road,High Risk,
175,Ambedkar Road,Oct-Dec,2025.0,11003.53467,Ambedkar Road,High Risk,
176,Ambedkar Road,Jan-Mar,2026.0,10255.02,Ambedkar Road,High Risk,
177,Ambedkar Road,Apr-Jun,2026.0,10440.0,Ambedkar Road,High Risk,
178,Ambedkar Road,Jul-Sep,2026.0,10887.575,Ambedkar Road,High Risk,
179,Ambedkar Road,Oct-Dec,2026.0,11255.0,Ambedkar Road,High Risk,
180,Ambedkar Road,Jan-Mar,2027.0,11900.0,Ambedkar Road,High Risk,
181,Ambedkar Road,Apr-Jun,2027.0,12330.0,Ambedkar Road,High Risk,
182,Ambedkar Road,Jul-Sep,2027.0,12793.06,Ambedkar Road,High Risk,
183,Ambedkar Road,Oct-Dec,2027.0,12750.0,Ambedkar Road,High Risk,
184,Ambedkar Road,Jan-Mar,2028.0,14086.04,Ambedkar Road,High Risk,
185,Ambedkar Road,Apr-Jun,2028.0,14426.76,Ambedkar Road,High Risk,
186,Ambedkar Road,Jul-Sep,2028.0,14768.17333,Ambedkar Road,High Risk,
187,Ambedkar Road,Oct-Dec,2028.0,13573.39667,Ambedkar Road,High Risk,
188,Ambedkar Road,Jan-Mar,2029.0,15782.8,Ambedkar Road,High Risk,
189,Ambedkar Road,Apr-Jun,2029.0,15861.94,Ambedkar Road,High Risk,
190,Ambedkar Road,Jul-Sep,2029.0,16691.68,Ambedkar Road,High Risk,
191,Ambedkar Road,Oct-Dec,2029.0,16525.69,Ambedkar Road,High Risk,
192,Ambedkar Road,Jan-Mar,2030.0,17915.97,Ambedkar Road,High Risk,
193,Ambedkar Road,Apr-Jun,2030.0,18312.39,Ambedkar Road,High Risk,
194,Ambedkar Road,Jul-Sep,2030.0,18297.518,Ambedkar Road,High Risk,
195,Ambedkar Road,Oct-Dec,2030.0,17022.14,Ambedkar Road,High Risk,
196,Amboli,Jan-Mar,2024.0,21735.02,Amboli,High Risk,
197,Amboli,Apr-Jun,2024.0,22442.76,Amboli,High Risk,
198,Amboli,Jul-Sep,2024.0,22544.212,Amboli,High Risk,
199,Amboli,Oct-Dec,2024.0,22387.522,Amboli,High Risk,
200,Amboli,Jan-Mar,2025.0,22633.03,Amboli,High Risk,
201,Amboli,Apr-Jun,2025.0,22526.11,Amboli,High Risk,
202,Amboli,Jul-Sep,2025.0,21877.204,Amboli,High Risk,
203,Amboli,Oct-Dec,2025.0,21001.034,Amboli,High Risk,
204,Amboli,Jan-Mar,2026.0,20399.87,Amboli,High Risk,
205,Amboli,Apr-Jun,2026.0,20418.91,Amboli,High Risk,
206,Amboli,Jul-Sep,2026.0,20125.44,Amboli,High Risk,
207,Amboli,Oct-Dec,2026.0,19732.19,Amboli,High Risk,
208,Amboli,Jan-Mar,2027.0,18593.52,Amboli,High Risk,
209,Amboli,Apr-Jun,2027.0,18441.13,Amboli,High Risk,
210,Amboli,Jul-Sep,2027.0,18353.22,Amboli,High Risk,
211,Amboli,Oct-Dec,2027.0,18444.32,Amboli,High Risk,
212,Amboli,Jan-Mar,2028.0,19838.51,Amboli,High Risk,
213,Amboli,Apr-Jun,2028.0,19944.08,Amboli,High Risk,
214,Amboli,Jul-Sep,2028.0,20406.55,Amboli,High Risk,
215,Amboli,Oct-Dec,2028.0,20459.4,Amboli,High Risk,
216,Amboli,Jan-Mar,2029.0,21262.36,Amboli,High Risk,
217,Amboli,Apr-Jun,2029.0,21362.94,Amboli,High Risk,
218,Amboli,Jul-Sep,2029.0,21982.37,Amboli,High Risk,
