,location,quarter,year,avg_price,Locality,Final Risk Calculated,Unnamed: 2
944,Byculla,Jan-Mar,2029.0,30893.44,Byculla,Moderate Risk,
945,Byculla,Apr-Jun,2029.0,31781.24,Byculla,Moderate Risk,
946,Byculla,Jul-Sep,2029.0,33090.28,Byculla,Moderate Risk,
947,Byculla,Oct-Dec,2029.0,32915.07,Byculla,Moderate Risk,
948,Byculla,Jan-Mar,2030.0,32711.17,Byculla,Moderate Risk,
949,Byculla,Apr-Jun,2030.0,33520.44,Byculla,Moderate Risk,
950,Byculla,Jul-Sep,2030.0,34549.39,Byculla,Moderate Risk,
951,Byculla,Oct-Dec,2030.0,34525.15,Byculla,Moderate Risk,
952,Byculla East,Jan-Mar,2024.0,28361.8,Byculla East,Moderate Risk,
953,Byculla East,Apr-Jun,2024.0,30365.99,Byculla East,Moderate Risk,
954,Byculla East,Jul-Sep,2024.0,32608.32,Byculla East,Moderate Risk,
955,Byculla East,Oct-Dec,2024.0,32798.09,Byculla East,Moderate Risk,
956,Byculla East,Jan-Mar,2025.0,31306.66,Byculla East,Moderate Risk,
957,Byculla East,Apr-Jun,2025.0,32846.14,Byculla East,Moderate Risk,
958,Byculla East,Jul-Sep,2025.0,21073.52,Byculla East,Moderate Risk,
959,Byculla East,Oct-Dec,2025.0,19833.88,Byculla East,Moderate Risk,
960,Byculla East,Jan-Mar,2026.0,18595.4,Byculla East,Moderate Risk,
961,Byculla East,Apr-Jun,2026.0,18698.65,Byculla East,Moderate Risk,
962,Byculla East,Jul-Sep,2026.0,18346.5,Byculla East,Moderate Risk,
963,Byculla East,Oct-Dec,2026.0,18379.5,Byculla East,Moderate Risk,
964,Byculla East,Jan-Mar,2027.0,18215.0,Byculla East,Moderate Risk,
965,Byculla East,Apr-Jun,2027.0,18332.25,Byculla East,Moderate Risk,
966,Byculla East,Jul-Sep,2027.0,18274.52,Byculla East,Moderate Risk,
967,Byculla East,Oct-Dec,2027.0,18350.24,Byculla East,Moderate Risk,
968,Byculla East,Jan-Mar,2028.0,18101.67,Byculla East,Moderate Risk,
969,Byculla East,Apr-Jun,2028.0,18258.59,Byculla East,Moderate Risk,
970,Byculla East,Jul-Sep,2028.0,19075.64,Byculla East,Moderate Risk,
971,Byculla East,Oct-Dec,2028.0,19543.74,Byculla East,Moderate Risk,
972,Byculla East,Jan-Mar,2029.0,19550.49,Byculla East,Moderate Risk,
973,Byculla East,Apr-Jun,2029.0,20146.43,Byculla East,Moderate Risk,
974,Byculla East,Jul-Sep,2029.0,29828.01,Byculla East,Moderate Risk,
975,Byculla East,Oct-Dec,2029.0,28977.79,Byculla East,Moderate Risk,
976,Byculla East,Jan-Mar,2030.0,28361.8,Byculla East,Moderate Risk,
977,Byculla East,Apr-Jun,2030.0,30365.99,Byculla East,Moderate Risk,
978,Byculla East,Jul-Sep,2030.0,32608.32,Byculla East,Moderate Risk,
979,Byculla East,Oct-Dec,2030.0,32798.09,Byculla East,Moderate Risk,
980,Byculla West,Jan-Mar,2024.0,35067.52,Byculla West,Moderate Risk,
981,Byculla West,Apr-Jun,2024.0,35730.59,Byculla West,Moderate Risk,
982,Byculla West,Jul-Sep,2024.0,36478.08,Byculla West,Moderate Risk,
983,Byculla West,Oct-Dec,2024.0,36300.52,Byculla West,Moderate Risk,
984,Byculla West,Jan-Mar,2025.0,33409.77,Byculla West,Moderate Risk,
985,Byculla West,Apr-Jun,2025.0,35891.13,Byculla West,Moderate Risk,
986,Byculla West,Jul-Sep,2025.0,23608.54,Byculla West,Moderate Risk,
987,Byculla West,Oct-Dec,2025.0,22468.67,Byculla West,Moderate Risk,
988,Byculla West,Jan-Mar,2026.0,20345.9,Byculla West,Moderate Risk,
989,Byculla West,Apr-Jun,2026.0,20376.9,Byculla West,Moderate Risk,
990,Byculla West,Jul-Sep,2026.0,20236.5,Byculla West,Moderate Risk,
991,Byculla West,Oct-Dec,2026.0,20301.03,Byculla West,Moderate Risk,
992,Byculla West,Jan-Mar,2027.0,20180.5,Byculla West,Moderate Risk,
993,Byculla West,Apr-Jun,2027.0,20248.94,Byculla West,Moderate Risk,
994,Byculla West,Jul-Sep,2027.0,20310.88,Byculla West,Moderate Risk,
995,Byculla West,Oct-Dec,2027.0,20521.03,Byculla West,Moderate Risk,
996,Byculla West,Jan-Mar,2028.0,22653.22,Byculla West,Moderate Risk,
997,Byculla West,Apr-Jun,2028.0,24871.13,Byculla West,Moderate Risk,
998,Byculla West,Jul-Sep,2028.0,27240.05,Byculla West,Moderate Risk,
999,Byculla West,Oct-Dec,2028.0,29881.24,Byculla West,Moderate Risk,
1000,Byculla West,Jan-Mar,2029.0,33212.9,Byculla West,Moderate Risk,
1001,Byculla West,Apr-Jun,2029.0,31833.0,Byculla West,Moderate Risk,
1002,Byculla West,Jul-Sep,2029.0,33085.38,Byculla West,Moderate Risk,
1003,Byculla West,Oct-Dec,2029.0,33381.17,Byculla West,Moderate Risk,
1004,Byculla West,Jan-Mar,2030.0,35067.52,Byculla West,Moderate Risk,
1005,Byculla West,Apr-Jun,2030.0,35730.59,Byculla West,Moderate Risk,
1006,Byculla West,Jul-Sep,2030.0,36478.08,Byculla West,Moderate Risk,
1007,Byculla West,Oct-Dec,2030.0,36300.52,Byculla West,Moderate Risk,
1008,Captain Prakash Pethe Marg,Jan-Mar,2024.0,37722.74,Captain Prakash Pethe Marg,High Risk,
1009,Captain Prakash Pethe Marg,Apr-Jun,2024.0,37246.6,Captain Prakash Pethe Marg,High Risk,
1010,Captain Prakash Pethe Marg,Jul-Sep,2024.0,25867.31,Captain Prakash Pethe Marg,High Risk,
1011,Captain Prakash Pethe Marg,Oct-Dec,2024.0,42704.02,Captain Prakash Pethe Marg,High Risk,
1012,Captain Prakash Pethe Marg,Jan-Mar,2025.0,51065.1,Captain Prakash Pethe Marg,High Risk,
1013,Captain Prakash Pethe Marg,Apr-Jun,2025.0,46717.92,Captain Prakash Pethe Marg,High Risk,
1014,Captain Prakash Pethe Marg,Jul-Sep,2025.0,23942.31,Captain Prakash Pethe Marg,High Risk,
1015,Captain Prakash Pethe Marg,Oct-Dec,2025.0,24864.98,Captain Prakash Pethe Marg,High Risk,
1016,Captain Prakash Pethe Marg,Jan-Mar,2026.0,21787.28,Captain Prakash Pethe Marg,High Risk,
1017,Captain Prakash Pethe Marg,Apr-Jun,2026.0,21686.88,Captain Prakash Pethe Marg,High Risk,
1018,Captain Prakash Pethe Marg,Jul-Sep,2026.0,19984.62,Captain Prakash Pethe Marg,High Risk,
1019,Captain Prakash Pethe Marg,Oct-Dec,2026.0,21197.36,Captain Prakash Pethe Marg,High Risk,
1020,Captain Prakash Pethe Marg,Jan-Mar,2027.0,18277.58,Captain Prakash Pethe Marg,High Risk,
1021,Captain Prakash Pethe Marg,Apr-Jun,2027.0,18243.29,Captain Prakash Pethe Marg,High Risk,
1022,Captain Prakash Pethe Marg,Jul-Sep,2027.0,18286.51,Captain Prakash Pethe Marg,High Risk,
1023,Captain Prakash Pethe Marg,Oct-Dec,2027.0,18825.5,Captain Prakash Pethe Marg,High Risk,
1024,Captain Prakash Pethe Marg,Jan-Mar,2028.0,18233.0,Captain Prakash Pethe Marg,High Risk,
1025,Captain Prakash Pethe Marg,Apr-Jun,2028.0,18112.0,Captain Prakash Pethe Marg,High Risk,
1026,Captain Prakash Pethe Marg,Jul-Sep,2028.0,18364.55,Captain Prakash Pethe Marg,High Risk,
1027,Captain Prakash Pethe Marg,Oct-Dec,2028.0,19052.12,Captain Prakash Pethe Marg,High Risk,
1028,Captain Prakash Pethe Marg,Jan-Mar,2029.0,19504.77,Captain Prakash Pethe Marg,High Risk,
1029,Captain Prakash Pethe Marg,Apr-Jun,2029.0,19865.15,Captain Prakash Pethe Marg,High Risk,
1030,Captain Prakash Pethe Marg,Jul-Sep,2029.0,18611.39,Captain Prakash Pethe Marg,High Risk,
1031,Captain Prakash Pethe Marg,Oct-Dec,2029.0,20798.67,Captain Prakash Pethe Marg,High Risk,
1032,Captain Prakash Pethe Marg,Jan-Mar,2030.0,37722.74,Captain Prakash Pethe Marg,High Risk,
1033,Captain Prakash Pethe Marg,Apr-Jun,2030.0,37246.6,Captain Prakash Pethe Marg,High Risk,
1034,Captain Prakash Pethe Marg,Jul-Sep,2030.0,25867.31,Captain Prakash Pethe Marg,High Risk,
1035,Captain Prakash Pethe Marg,Oct-Dec,2030.0,42704.02,Captain Prakash Pethe Marg,High Risk,
1036,CD Barfiwala Road,Jan-Mar,2024.0,25492.52,CD Barfiwala Road,High Risk,
1037,CD Barfiwala Road,Apr-Jun,2024.0,26440.61,CD Barfiwala Road,High Risk,
1038,CD Barfiwala Road,Jul-Sep,2024.0,26546.32,CD Barfiwala Road,High Risk,
1039,CD Barfiwala Road,Oct-Dec,2024.0,29407.02,CD Barfiwala Road,High Risk,
1040,CD Barfiwala Road,Jan-Mar,2025.0,27145.34,CD Barfiwala Road,High Risk,
1041,CD Barfiwala Road,Apr-Jun,2025.0,27525.438,CD Barfiwala Road,High Risk,
1042,CD Barfiwala Road,Jul-Sep,2025.0,23923.47967,CD Barfiwala Road,High Risk,
1043,CD Barfiwala Road,Oct-Dec,2025.0,23199.48967,CD Barfiwala Road,High Risk,
1044,CD Barfiwala Road,Jan-Mar,2026.0,22065.8,CD Barfiwala Road,High Risk,
1045,CD Barfiwala Road,Apr-Jun,2026.0,22440.49,CD Barfiwala Road,High Risk,
1046,CD Barfiwala Road,Jul-Sep,2026.0,22004.24,CD Barfiwala Road,High Risk,
1047,CD Barfiwala Road,Oct-Dec,2026.0,22167.13,CD Barfiwala Road,High Risk,
1048,CD Barfiwala Road,Jan-Mar,2027.0,22265.0,CD Barfiwala Road,High Risk,
1049,CD Barfiwala Road,Apr-Jun,2027.0,22406.75,CD Barfiwala Road,High Risk,
1050,CD Barfiwala Road,Jul-Sep,2027.0,22556.07,CD Barfiwala Road,High Risk,
1051,CD Barfiwala Road,Oct-Dec,2027.0,22737.0,CD Barfiwala Road,High Risk,
1052,CD Barfiwala Road,Jan-Mar,2028.0,22850.65,CD Barfiwala Road,High Risk,
1053,CD Barfiwala Road,Apr-Jun,2028.0,23287.09,CD Barfiwala Road,High Risk,
1054,CD Barfiwala Road,Jul-Sep,2028.0,23624.94833,CD Barfiwala Road,High Risk,
1055,CD Barfiwala Road,Oct-Dec,2028.0,24103.15833,CD Barfiwala Road,High Risk,
1056,CD Barfiwala Road,Jan-Mar,2029.0,24372.45,CD Barfiwala Road,High Risk,
1057,CD Barfiwala Road,Apr-Jun,2029.0,24346.26,CD Barfiwala Road,High Risk,
1058,CD Barfiwala Road,Jul-Sep,2029.0,24289.62,CD Barfiwala Road,High Risk,
1059,CD Barfiwala Road,Oct-Dec,2029.0,24546.58,CD Barfiwala Road,High Risk,
1060,CD Barfiwala Road,Jan-Mar,2030.0,25492.52,CD Barfiwala Road,High Risk,
1061,CD Barfiwala Road,Apr-Jun,2030.0,26440.61,CD Barfiwala Road,High Risk,
1062,CD Barfiwala Road,Jul-Sep,2030.0,26546.32,CD Barfiwala Road,High Risk,
1063,CD Barfiwala Road,Oct-Dec,2030.0,29407.02,CD Barfiwala Road,High Risk,
1064,Chakala,Jan-Mar,2024.0,20844.29,Chakala,Low Risk,
1065,Chakala,Apr-Jun,2024.0,21121.13,Chakala,Low Risk,
1066,Chakala,Jul-Sep,2024.0,21223.46333,Chakala,Low Risk,
1067,Chakala,Oct-Dec,2024.0,21333.84,Chakala,Low Risk,
1068,Chakala,Jan-Mar,2025.0,23365.95667,Chakala,Low Risk,
1069,Chakala,Apr-Jun,2025.0,24109.50095,Chakala,Low Risk,
1070,Chakala,Jul-Sep,2025.0,22103.92529,Chakala,Low Risk,
1071,Chakala,Oct-Dec,2025.0,19371.47667,Chakala,Low Risk,
1072,Chakala,Jan-Mar,2026.0,18933.91,Chakala,Low Risk,
1073,Chakala,Apr-Jun,2026.0,19206.98,Chakala,Low Risk,
1074,Chakala,Jul-Sep,2026.0,19227.79,Chakala,Low Risk,
1075,Chakala,Oct-Dec,2026.0,19478.03,Chakala,Low Risk,
1076,Chakala,Jan-Mar,2027.0,19312.99,Chakala,Low Risk,
1077,Chakala,Apr-Jun,2027.0,19411.42,Chakala,Low Risk,
1078,Chakala,Jul-Sep,2027.0,19100.01,Chakala,Low Risk,
1079,Chakala,Oct-Dec,2027.0,19031.05,Chakala,Low Risk,
1080,Chakala,Jan-Mar,2028.0,19141.42,Chakala,Low Risk,
1081,Chakala,Apr-Jun,2028.0,18961.05,Chakala,Low Risk,
1082,Chakala,Jul-Sep,2028.0,19325.26333,Chakala,Low Risk,
1083,Chakala,Oct-Dec,2028.0,19662.67333,Chakala,Low Risk,
1084,Chakala,Jan-Mar,2029.0,20317.79,Chakala,Low Risk,
1085,Chakala,Apr-Jun,2029.0,20517.3,Chakala,Low Risk,
1086,Chakala,Jul-Sep,2029.0,20515.27667,Chakala,Low Risk,
1087,Chakala,Oct-Dec,2029.0,20732.91,Chakala,Low Risk,
1088,Chakala,Jan-Mar,2030.0,20844.29,Chakala,Low Risk,
1089,Chakala,Apr-Jun,2030.0,21121.13,Chakala,Low Risk,
1090,Chakala,Jul-Sep,2030.0,21223.46333,Chakala,Low Risk,
1091,Chakala,Oct-Dec,2030.0,21333.84,Chakala,Low Risk,
1092,Chandavarkar Road,Jan-Mar,2024.0,20447.91,Chandavarkar Road,High Risk,
1093,Chandavarkar Road,Apr-Jun,2024.0,20564.78,Chandavarkar Road,High Risk,
1094,Chandavarkar Road,Jul-Sep,2024.0,20580.7931,Chandavarkar Road,High Risk,
1095,Chandavarkar Road,Oct-Dec,2024.0,20720.9,Chandavarkar Road,High Risk,
1096,Chandavarkar Road,Jan-Mar,2025.0,21567.06,Chandavarkar Road,High Risk,
1097,Chandavarkar Road,Apr-Jun,2025.0,22128.215,Chandavarkar Road,High Risk,
1098,Chandavarkar Road,Jul-Sep,2025.0,19953.8561,Chandavarkar Road,High Risk,
1099,Chandavarkar Road,Oct-Dec,2025.0,18344.705,Chandavarkar Road,High Risk,
1100,Chandavarkar Road,Jan-Mar,2026.0,17450.08,Chandavarkar Road,High Risk,
1101,Chandavarkar Road,Apr-Jun,2026.0,17531.3,Chandavarkar Road,High Risk,
1102,Chandavarkar Road,Jul-Sep,2026.0,17946.26,Chandavarkar Road,High Risk,
1103,Chandavarkar Road,Oct-Dec,2026.0,18046.93,Chandavarkar Road,High Risk,
1104,Chandavarkar Road,Jan-Mar,2027.0,17931.19,Chandavarkar Road,High Risk,
1105,Chandavarkar Road,Apr-Jun,2027.0,18033.66,Chandavarkar Road,High Risk,
1106,Chandavarkar Road,Jul-Sep,2027.0,18320.24,Chandavarkar Road,High Risk,
1107,Chandavarkar Road,Oct-Dec,2027.0,18465.94,Chandavarkar Road,High Risk,
1108,Chandavarkar Road,Jan-Mar,2028.0,18968.45,Chandavarkar Road,High Risk,
1109,Chandavarkar Road,Apr-Jun,2028.0,18982.58,Chandavarkar Road,High Risk,
1110,Chandavarkar Road,Jul-Sep,2028.0,19223.17667,Chandavarkar Road,High Risk,
1111,Chandavarkar Road,Oct-Dec,2028.0,19313.65667,Chandavarkar Road,High Risk,
1112,Chandavarkar Road,Jan-Mar,2029.0,19687.24,Chandavarkar Road,High Risk,
1113,Chandavarkar Road,Apr-Jun,2029.0,19747.09,Chandavarkar Road,High Risk,
1114,Chandavarkar Road,Jul-Sep,2029.0,19912.79,Chandavarkar Road,High Risk,
1115,Chandavarkar Road,Oct-Dec,2029.0,20190.77,Chandavarkar Road,High Risk,
1116,Chandavarkar Road,Jan-Mar,2030.0,20447.91,Chandavarkar Road,High Risk,
1117,Chandavarkar Road,Apr-Jun,2030.0,20564.78,Chandavarkar Road,High Risk,
1118,Chandavarkar Road,Jul-Sep,2030.0,20580.7931,Chandavarkar Road,High Risk,
1119,Chandavarkar Road,Oct-Dec,2030.0,20720.9,Chandavarkar Road,High Risk,
1120,Chandivali,Jan-Mar,2024.0,19600.28,Chandivali,Moderate Risk,
1121,Chandivali,Apr-Jun,2024.0,19610.11,Chandivali,Moderate Risk,
1122,Chandivali,Jul-Sep,2024.0,19666.84333,Chandivali,Moderate Risk,
1123,Chandivali,Oct-Dec,2024.0,19933.96,Chandivali,Moderate Risk,
1124,Chandivali,Jan-Mar,2025.0,20295.05,Chandivali,Moderate Risk,
1125,Chandivali,Apr-Jun,2025.0,20258.2,Chandivali,Moderate Risk,
1126,Chandivali,Jul-Sep,2025.0,18513.185,Chandivali,Moderate Risk,
1127,Chandivali,Oct-Dec,2025.0,18248.505,Chandivali,Moderate Risk,
1128,Chandivali,Jan-Mar,2026.0,17944.0,Chandivali,Moderate Risk,
1129,Chandivali,Apr-Jun,2026.0,17932.23,Chandivali,Moderate Risk,
1130,Chandivali,Jul-Sep,2026.0,18220.84,Chandivali,Moderate Risk,
1131,Chandivali,Oct-Dec,2026.0,18123.86,Chandivali,Moderate Risk,
1132,Chandivali,Jan-Mar,2027.0,17824.71,Chandivali,Moderate Risk,
1133,Chandivali,Apr-Jun,2027.0,17788.94,Chandivali,Moderate Risk,
1134,Chandivali,Jul-Sep,2027.0,17819.57,Chandivali,Moderate Risk,
1135,Chandivali,Oct-Dec,2027.0,17858.78,Chandivali,Moderate Risk,
1136,Chandivali,Jan-Mar,2028.0,18735.84,Chandivali,Moderate Risk,
1137,Chandivali,Apr-Jun,2028.0,18537.1,Chandivali,Moderate Risk,
1138,Chandivali,Jul-Sep,2028.0,18661.32,Chandivali,Moderate Risk,
1139,Chandivali,Oct-Dec,2028.0,18905.01,Chandivali,Moderate Risk,
1140,Chandivali,Jan-Mar,2029.0,19048.19,Chandivali,Moderate Risk,
1141,Chandivali,Apr-Jun,2029.0,19077.18,Chandivali,Moderate Risk,
1142,Chandivali,Jul-Sep,2029.0,19210.56,Chandivali,Moderate Risk,
1143,Chandivali,Oct-Dec,2029.0,19492.22,Chandivali,Moderate Risk,
1144,Chandivali,Jan-Mar,2030.0,19600.28,Chandivali,Moderate Risk,
1145,Chandivali,Apr-Jun,2030.0,19610.11,Chandivali,Moderate Risk,
1146,Chandivali,Jul-Sep,2030.0,19666.84333,Chandivali,Moderate Risk,
1147,Chandivali,Oct-Dec,2030.0,19933.96,Chandivali,Moderate Risk,
1148,Chandivali Farm Road,Jan-Mar,2024.0,19344.46,Chandivali Farm Road,High Risk,
1149,Chandivali Farm Road,Apr-Jun,2024.0,19435.39,Chandivali Farm Road,High Risk,
1150,Chandivali Farm Road,Jul-Sep,2024.0,19555.54,Chandivali Farm Road,High Risk,
1151,Chandivali Farm Road,Oct-Dec,2024.0,19749.85,Chandivali Farm Road,High Risk,
1152,Chandivali Farm Road,Jan-Mar,2025.0,18262.28,Chandivali Farm Road,High Risk,
1153,Chandivali Farm Road,Apr-Jun,2025.0,18038.8,Chandivali Farm Road,High Risk,
1154,Chandivali Farm Road,Jul-Sep,2025.0,16694.965,Chandivali Farm Road,High Risk,
1155,Chandivali Farm Road,Oct-Dec,2025.0,16837.47,Chandivali Farm Road,High Risk,
1156,Chandivali Farm Road,Jan-Mar,2026.0,16412.98,Chandivali Farm Road,High Risk,
1157,Chandivali Farm Road,Apr-Jun,2026.0,16654.33,Chandivali Farm Road,High Risk,
1158,Chandivali Farm Road,Jul-Sep,2026.0,17012.49,Chandivali Farm Road,High Risk,
1159,Chandivali Farm Road,Oct-Dec,2026.0,17067.44,Chandivali Farm Road,High Risk,
1160,Chandivali Farm Road,Jan-Mar,2027.0,16972.53,Chandivali Farm Road,High Risk,
1161,Chandivali Farm Road,Apr-Jun,2027.0,17169.54,Chandivali Farm Road,High Risk,
1162,Chandivali Farm Road,Jul-Sep,2027.0,17378.29,Chandivali Farm Road,High Risk,
1163,Chandivali Farm Road,Oct-Dec,2027.0,17520.77,Chandivali Farm Road,High Risk,
1164,Chandivali Farm Road,Jan-Mar,2028.0,18205.46,Chandivali Farm Road,High Risk,
1165,Chandivali Farm Road,Apr-Jun,2028.0,18028.47,Chandivali Farm Road,High Risk,
1166,Chandivali Farm Road,Jul-Sep,2028.0,18040.58,Chandivali Farm Road,High Risk,
1167,Chandivali Farm Road,Oct-Dec,2028.0,18322.6,Chandivali Farm Road,High Risk,
1168,Chandivali Farm Road,Jan-Mar,2029.0,18728.84,Chandivali Farm Road,High Risk,
1169,Chandivali Farm Road,Apr-Jun,2029.0,18728.26,Chandivali Farm Road,High Risk,
1170,Chandivali Farm Road,Jul-Sep,2029.0,18929.73,Chandivali Farm Road,High Risk,
1171,Chandivali Farm Road,Oct-Dec,2029.0,19131.93,Chandivali Farm Road,High Risk,
1172,Chandivali Farm Road,Jan-Mar,2030.0,19344.46,Chandivali Farm Road,High Risk,
1173,Chandivali Farm Road,Apr-Jun,2030.0,19435.39,Chandivali Farm Road,High Risk,
1174,Chandivali Farm Road,Jul-Sep,2030.0,19555.54,Chandivali Farm Road,High Risk,
1175,Chandivali Farm Road,Oct-Dec,2030.0,19749.85,Chandivali Farm Road,High Risk,
1176,Charkop Gaon,Jan-Mar,2024.0,15522.72,Charkop Gaon,Moderate Risk,
1177,Charkop Gaon,Apr-Jun,2024.0,15476.88,Charkop Gaon,Moderate Risk,
1178,Charkop Gaon,Jul-Sep,2024.0,15558.53,Charkop Gaon,Moderate Risk,
1179,Charkop Gaon,Oct-Dec,2024.0,15725.55,Charkop Gaon,Moderate Risk,
1180,Charkop Gaon,Jan-Mar,2025.0,16418.74,Charkop Gaon,Moderate Risk,
1181,Charkop Gaon,Apr-Jun,2025.0,16355.04,Charkop Gaon,Moderate Risk,
1182,Charkop Gaon,Jul-Sep,2025.0,16015.31,Charkop Gaon,Moderate Risk,
1183,Charkop Gaon,Oct-Dec,2025.0,16046.74,Charkop Gaon,Moderate Risk,
1184,Charkop Gaon,Jan-Mar,2026.0,13791.79,Charkop Gaon,Moderate Risk,
1185,Charkop Gaon,Apr-Jun,2026.0,13946.17,Charkop Gaon,Moderate Risk,
1186,Charkop Gaon,Jul-Sep,2026.0,14265.32,Charkop Gaon,Moderate Risk,
1187,Charkop Gaon,Oct-Dec,2026.0,14291.03,Charkop Gaon,Moderate Risk,
1188,Charkop Gaon,Jan-Mar,2027.0,14293.99,Charkop Gaon,Moderate Risk,
1189,Charkop Gaon,Apr-Jun,2027.0,14393.37,Charkop Gaon,Moderate Risk,
1190,Charkop Gaon,Jul-Sep,2027.0,14597.93,Charkop Gaon,Moderate Risk,
1191,Charkop Gaon,Oct-Dec,2027.0,14618.28,Charkop Gaon,Moderate Risk,
1192,Charkop Gaon,Jan-Mar,2028.0,14689.8,Charkop Gaon,Moderate Risk,
1193,Charkop Gaon,Apr-Jun,2028.0,14742.23,Charkop Gaon,Moderate Risk,
1194,Charkop Gaon,Jul-Sep,2028.0,14583.37,Charkop Gaon,Moderate Risk,
1195,Charkop Gaon,Oct-Dec,2028.0,14864.49,Charkop Gaon,Moderate Risk,
1196,Charkop Gaon,Jan-Mar,2029.0,14669.34,Charkop Gaon,Moderate Risk,
1197,Charkop Gaon,Apr-Jun,2029.0,14669.82,Charkop Gaon,Moderate Risk,
1198,Charkop Gaon,Jul-Sep,2029.0,14496.48,Charkop Gaon,Moderate Risk,
1199,Charkop Gaon,Oct-Dec,2029.0,14833.83,Charkop Gaon,Moderate Risk,
1200,Charkop Gaon,Jan-Mar,2030.0,15522.72,Charkop Gaon,Moderate Risk,
1201,Charkop Gaon,Apr-Jun,2030.0,15476.88,Charkop Gaon,Moderate Risk,
1202,Charkop Gaon,Jul-Sep,2030.0,15558.53,Charkop Gaon,Moderate Risk,
1203,Charkop Gaon,Oct-Dec,2030.0,15725.55,Charkop Gaon,Moderate Risk,
1204,Chembur,Jan-Mar,2024.0,19937.11,Chembur,Moderate Risk,
1205,Chembur,Apr-Jun,2024.0,20161.52,Chembur,Moderate Risk,
1206,Chembur,Jul-Sep,2024.0,20158.45333,Chembur,Moderate Risk,
1207,Chembur,Oct-Dec,2024.0,20323.16,Chembur,Moderate Risk,
1208,Chembur,Jan-Mar,2025.0,21325.17,Chembur,Moderate Risk,
1209,Chembur,Apr-Jun,2025.0,21679.04,Chembur,Moderate Risk,
1210,Chembur,Jul-Sep,2025.0,19057.31567,Chembur,Moderate Risk,
1211,Chembur,Oct-Dec,2025.0,18459.28567,Chembur,Moderate Risk,
1212,Chembur,Jan-Mar,2026.0,18160.62,Chembur,Moderate Risk,
1213,Chembur,Apr-Jun,2026.0,18097.9,Chembur,Moderate Risk,
1214,Chembur,Jul-Sep,2026.0,18365.54,Chembur,Moderate Risk,
1215,Chembur,Oct-Dec,2026.0,18455.37,Chembur,Moderate Risk,
1216,Chembur,Jan-Mar,2027.0,18074.02,Chembur,Moderate Risk,
1217,Chembur,Apr-Jun,2027.0,18006.02,Chembur,Moderate Risk,
1218,Chembur,Jul-Sep,2027.0,18057.65,Chembur,Moderate Risk,
1219,Chembur,Oct-Dec,2027.0,18117.75,Chembur,Moderate Risk,
1220,Chembur,Jan-Mar,2028.0,19230.29,Chembur,Moderate Risk,
1221,Chembur,Apr-Jun,2028.0,19378.07,Chembur,Moderate Risk,
1222,Chembur,Jul-Sep,2028.0,19205.66,Chembur,Moderate Risk,
1223,Chembur,Oct-Dec,2028.0,19047.29,Chembur,Moderate Risk,
1224,Chembur,Jan-Mar,2029.0,19190.39,Chembur,Moderate Risk,
1225,Chembur,Apr-Jun,2029.0,19444.71,Chembur,Moderate Risk,
1226,Chembur,Jul-Sep,2029.0,19767.98,Chembur,Moderate Risk,
1227,Chembur,Oct-Dec,2029.0,19878.39,Chembur,Moderate Risk,
1228,Chembur,Jan-Mar,2030.0,19937.11,Chembur,Moderate Risk,
1229,Chembur,Apr-Jun,2030.0,20161.52,Chembur,Moderate Risk,
1230,Chembur,Jul-Sep,2030.0,20158.45333,Chembur,Moderate Risk,
1231,Chembur,Oct-Dec,2030.0,20323.16,Chembur,Moderate Risk,
1232,Chembur East,Jan-Mar,2024.0,20972.05,Chembur East,Moderate Risk,
1233,Chembur East,Apr-Jun,2024.0,20918.11,Chembur East,Moderate Risk,
1234,Chembur East,Jul-Sep,2024.0,20996.52405,Chembur East,Moderate Risk,
1235,Chembur East,Oct-Dec,2024.0,20516.45,Chembur East,Moderate Risk,
1236,Chembur East,Jan-Mar,2025.0,21626.18667,Chembur East,Moderate Risk,
1237,Chembur East,Apr-Jun,2025.0,21933.35667,Chembur East,Moderate Risk,
1238,Chembur East,Jul-Sep,2025.0,20099.01371,Chembur East,Moderate Risk,
1239,Chembur East,Oct-Dec,2025.0,18283.36967,Chembur East,Moderate Risk,
1240,Chembur East,Jan-Mar,2026.0,17728.4,Chembur East,Moderate Risk,
1241,Chembur East,Apr-Jun,2026.0,17640.58,Chembur East,Moderate Risk,
1242,Chembur East,Jul-Sep,2026.0,17764.5,Chembur East,Moderate Risk,
1243,Chembur East,Oct-Dec,2026.0,17945.01,Chembur East,Moderate Risk,
1244,Chembur East,Jan-Mar,2027.0,17994.11,Chembur East,Moderate Risk,
1245,Chembur East,Apr-Jun,2027.0,17905.13,Chembur East,Moderate Risk,
1246,Chembur East,Jul-Sep,2027.0,17963.28,Chembur East,Moderate Risk,
1247,Chembur East,Oct-Dec,2027.0,17989.2,Chembur East,Moderate Risk,
1248,Chembur East,Jan-Mar,2028.0,19409.77,Chembur East,Moderate Risk,
1249,Chembur East,Apr-Jun,2028.0,19603.91,Chembur East,Moderate Risk,
1250,Chembur East,Jul-Sep,2028.0,19266.96,Chembur East,Moderate Risk,
1251,Chembur East,Oct-Dec,2028.0,18830.51,Chembur East,Moderate Risk,
1252,Chembur East,Jan-Mar,2029.0,19547.07,Chembur East,Moderate Risk,
1253,Chembur East,Apr-Jun,2029.0,19761.46,Chembur East,Moderate Risk,
