location,quarter,year,predicted_price,Locality,Risk
Boraspada Road,Jan-Mar,2029,17870.24,Boraspada Road,High
Boraspada Road,Apr-Jun,2029,17950.72,Boraspada Road,High
Boraspada Road,Jul-Sep,2029,17974.94333,Boraspada Road,High
Boraspada Road,Oct-Dec,2029,18193.81,Boraspada Road,High
Boraspada Road,Jan-Mar,2030,18262.91,Boraspada Road,High
Boraspada Road,Apr-Jun,2030,18321.57,Boraspada Road,High
Boraspada Road,Jul-Sep,2030,18354.84667,Boraspada Road,High
Boraspada Road,Oct-Dec,2030,18431.65667,Boraspada Road,High
Borivali,Jan-Mar,2024,19377.6,Borivali,Moderate
Borivali,Apr-Jun,2024,19485.36,Borivali,Moderate
Borivali,Jul-Sep,2024,19656.605,Borivali,Moderate
Borivali,Oct-Dec,2024,19906.335,Borivali,Moderate
Borivali,Jan-Mar,2025,21067.22,Borivali,Moderate
Borivali,Apr-Jun,2025,21289.98783,Borivali,Moderate
Borivali,Jul-Sep,2025,19346.554,Borivali,Moderate
Borivali,Oct-Dec,2025,17324.93517,Borivali,Moderate
Borivali,Jan-Mar,2026,16829.93,Borivali,Moderate
Borivali,Apr-Jun,2026,16862.87,Borivali,Moderate
Borivali,Jul-Sep,2026,16915.32,Borivali,Moderate
Borivali,Oct-Dec,2026,16853.8,Borivali,Moderate
Borivali,Jan-Mar,2027,17040.33,Borivali,Moderate
Borivali,Apr-Jun,2027,17027.04,Borivali,Moderate
Borivali,Jul-Sep,2027,17199.19,Borivali,Moderate
Borivali,Oct-Dec,2027,17269.28,Borivali,Moderate
Borivali,Jan-Mar,2028,17950.13,Borivali,Moderate
Borivali,Apr-Jun,2028,18021.51333,Borivali,Moderate
Borivali,Jul-Sep,2028,18380.805,Borivali,Moderate
Borivali,Oct-Dec,2028,18367.87333,Borivali,Moderate
Borivali,Jan-Mar,2029,18646.87,Borivali,Moderate
Borivali,Apr-Jun,2029,18725.68,Borivali,Moderate
Borivali,Jul-Sep,2029,18929.34,Borivali,Moderate
Borivali,Oct-Dec,2029,19152.42,Borivali,Moderate
Borivali,Jan-Mar,2030,19377.6,Borivali,Moderate
Borivali,Apr-Jun,2030,19485.36,Borivali,Moderate
Borivali,Jul-Sep,2030,19656.605,Borivali,Moderate
Borivali,Oct-Dec,2030,19906.335,Borivali,Moderate
Borivali East,Jan-Mar,2024,18845.2,Borivali East,Moderate
Borivali East,Apr-Jun,2024,18987.32,Borivali East,Moderate
Borivali East,Jul-Sep,2024,19067.19,Borivali East,Moderate
Borivali East,Oct-Dec,2024,19298.3,Borivali East,Moderate
Borivali East,Jan-Mar,2025,19896.05,Borivali East,Moderate
Borivali East,Apr-Jun,2025,20104.625,Borivali East,Moderate
Borivali East,Jul-Sep,2025,17044.02117,Borivali East,Moderate
Borivali East,Oct-Dec,2025,16060.79333,Borivali East,Moderate
Borivali East,Jan-Mar,2026,15934.88,Borivali East,Moderate
Borivali East,Apr-Jun,2026,15926.06,Borivali East,Moderate
Borivali East,Jul-Sep,2026,15984.24,Borivali East,Moderate
Borivali East,Oct-Dec,2026,16009.22,Borivali East,Moderate
Borivali East,Jan-Mar,2027,16437.59,Borivali East,Moderate
Borivali East,Apr-Jun,2027,16349.66,Borivali East,Moderate
Borivali East,Jul-Sep,2027,16367.5,Borivali East,Moderate
Borivali East,Oct-Dec,2027,16483.39,Borivali East,Moderate
Borivali East,Jan-Mar,2028,17329.97,Borivali East,Moderate
Borivali East,Apr-Jun,2028,17592.64,Borivali East,Moderate
Borivali East,Jul-Sep,2028,17747.13,Borivali East,Moderate
Borivali East,Oct-Dec,2028,17852.23,Borivali East,Moderate
Borivali East,Jan-Mar,2029,18129.91,Borivali East,Moderate
Borivali East,Apr-Jun,2029,18154.23,Borivali East,Moderate
Borivali East,Jul-Sep,2029,18379.21,Borivali East,Moderate
Borivali East,Oct-Dec,2029,18648.26,Borivali East,Moderate
Borivali East,Jan-Mar,2030,18845.2,Borivali East,Moderate
Borivali East,Apr-Jun,2030,18987.32,Borivali East,Moderate
Borivali East,Jul-Sep,2030,19067.19,Borivali East,Moderate
Borivali East,Oct-Dec,2030,19298.3,Borivali East,Moderate
Borivali West,Jan-Mar,2024,20148.83,Borivali West,Moderate
Borivali West,Apr-Jun,2024,20236.45,Borivali West,Moderate
Borivali West,Jul-Sep,2024,20629.51,Borivali West,Moderate
Borivali West,Oct-Dec,2024,20387.9,Borivali West,Moderate
Borivali West,Jan-Mar,2025,21813.53,Borivali West,Moderate
Borivali West,Apr-Jun,2025,22266.44,Borivali West,Moderate
Borivali West,Jul-Sep,2025,21972.175,Borivali West,Moderate
Borivali West,Oct-Dec,2025,19080.42,Borivali West,Moderate
Borivali West,Jan-Mar,2026,17723.53,Borivali West,Moderate
Borivali West,Apr-Jun,2026,17815.57,Borivali West,Moderate
Borivali West,Jul-Sep,2026,17732.78,Borivali West,Moderate
Borivali West,Oct-Dec,2026,17716.83,Borivali West,Moderate
Borivali West,Jan-Mar,2027,17843.98,Borivali West,Moderate
Borivali West,Apr-Jun,2027,17779.06,Borivali West,Moderate
Borivali West,Jul-Sep,2027,17865.38,Borivali West,Moderate
Borivali West,Oct-Dec,2027,17877.03,Borivali West,Moderate
Borivali West,Jan-Mar,2028,18612.69,Borivali West,Moderate
Borivali West,Apr-Jun,2028,18728.6,Borivali West,Moderate
Borivali West,Jul-Sep,2028,19077.75,Borivali West,Moderate
Borivali West,Oct-Dec,2028,19062.29,Borivali West,Moderate
Borivali West,Jan-Mar,2029,19289.53,Borivali West,Moderate
Borivali West,Apr-Jun,2029,19484.28,Borivali West,Moderate
Borivali West,Jul-Sep,2029,19614.05,Borivali West,Moderate
Borivali West,Oct-Dec,2029,19673.25,Borivali West,Moderate
Borivali West,Jan-Mar,2030,20148.83,Borivali West,Moderate
Borivali West,Apr-Jun,2030,20236.45,Borivali West,Moderate
Borivali West,Jul-Sep,2030,20629.51,Borivali West,Moderate
Borivali West,Oct-Dec,2030,20387.9,Borivali West,Moderate
Breach Candy,Jan-Mar,2024,54344.11,Breach Candy,Low
Breach Candy,Apr-Jun,2024,54559.78,Breach Candy,Low
Breach Candy,Jul-Sep,2024,54527.495,Breach Candy,Low
Breach Candy,Oct-Dec,2024,54875.87,Breach Candy,Low
Breach Candy,Jan-Mar,2025,55281.24167,Breach Candy,Low
Breach Candy,Apr-Jun,2025,55189.00333,Breach Candy,Low
Breach Candy,Jul-Sep,2025,56992.24,Breach Candy,Low
Breach Candy,Oct-Dec,2025,57047.28333,Breach Candy,Low
Breach Candy,Jan-Mar,2026,56499.63,Breach Candy,Low
Breach Candy,Apr-Jun,2026,57365.04,Breach Candy,Low
Breach Candy,Jul-Sep,2026,58898.86,Breach Candy,Low
Breach Candy,Oct-Dec,2026,57108.27,Breach Candy,Low
Breach Candy,Jan-Mar,2027,54423.81,Breach Candy,Low
Breach Candy,Apr-Jun,2027,55389.99,Breach Candy,Low
Breach Candy,Jul-Sep,2027,55593.5,Breach Candy,Low
Breach Candy,Oct-Dec,2027,54978.47,Breach Candy,Low
Breach Candy,Jan-Mar,2028,54047.04,Breach Candy,Low
Breach Candy,Apr-Jun,2028,53826.7,Breach Candy,Low
Breach Candy,Jul-Sep,2028,53367.26,Breach Candy,Low
Breach Candy,Oct-Dec,2028,53312.01,Breach Candy,Low
Breach Candy,Jan-Mar,2029,53209.88,Breach Candy,Low
Breach Candy,Apr-Jun,2029,54642.87,Breach Candy,Low
Breach Candy,Jul-Sep,2029,55245.84,Breach Candy,Low
Breach Candy,Oct-Dec,2029,53946.66,Breach Candy,Low
Breach Candy,Jan-Mar,2030,54344.11,Breach Candy,Low
Breach Candy,Apr-Jun,2030,54559.78,Breach Candy,Low
Breach Candy,Jul-Sep,2030,54527.495,Breach Candy,Low
Breach Candy,Oct-Dec,2030,54875.87,Breach Candy,Low
Byculla,Jan-Mar,2024,32711.17,Byculla,Moderate
Byculla,Apr-Jun,2024,33520.44,Byculla,Moderate
Byculla,Jul-Sep,2024,34549.39,Byculla,Moderate
Byculla,Oct-Dec,2024,34525.15,Byculla,Moderate
Byculla,Jan-Mar,2025,34846.49,Byculla,Moderate
Byculla,Apr-Jun,2025,35697.63,Byculla,Moderate
Byculla,Jul-Sep,2025,28810.78,Byculla,Moderate
Byculla,Oct-Dec,2025,27869.87,Byculla,Moderate
Byculla,Jan-Mar,2026,27418.96,Byculla,Moderate
Byculla,Apr-Jun,2026,27657.61,Byculla,Moderate
Byculla,Jul-Sep,2026,27492.61,Byculla,Moderate
Byculla,Oct-Dec,2026,26324.34,Byculla,Moderate
Byculla,Jan-Mar,2027,26952.43,Byculla,Moderate
Byculla,Apr-Jun,2027,27146.46,Byculla,Moderate
Byculla,Jul-Sep,2027,27037.23,Byculla,Moderate
Byculla,Oct-Dec,2027,27340.04,Byculla,Moderate
Byculla,Jan-Mar,2028,30940.19,Byculla,Moderate
Byculla,Apr-Jun,2028,34051.1,Byculla,Moderate
Byculla,Jul-Sep,2028,32680.69,Byculla,Moderate
Byculla,Oct-Dec,2028,31446.43,Byculla,Moderate
Byculla,Jan-Mar,2029,30893.44,Byculla,Moderate
Byculla,Apr-Jun,2029,31781.24,Byculla,Moderate
Byculla,Jul-Sep,2029,33090.28,Byculla,Moderate
Byculla,Oct-Dec,2029,32915.07,Byculla,Moderate
Byculla,Jan-Mar,2030,32711.17,Byculla,Moderate
Byculla,Apr-Jun,2030,33520.44,Byculla,Moderate
Byculla,Jul-Sep,2030,34549.39,Byculla,Moderate
Byculla,Oct-Dec,2030,34525.15,Byculla,Moderate
Byculla East,Jan-Mar,2024,28361.8,Byculla East,Moderate
Byculla East,Apr-Jun,2024,30365.99,Byculla East,Moderate
Byculla East,Jul-Sep,2024,32608.32,Byculla East,Moderate
Byculla East,Oct-Dec,2024,32798.09,Byculla East,Moderate
Byculla East,Jan-Mar,2025,31306.66,Byculla East,Moderate
Byculla East,Apr-Jun,2025,32846.14,Byculla East,Moderate
Byculla East,Jul-Sep,2025,21073.52,Byculla East,Moderate
Byculla East,Oct-Dec,2025,19833.88,Byculla East,Moderate
Byculla East,Jan-Mar,2026,18595.4,Byculla East,Moderate
Byculla East,Apr-Jun,2026,18698.65,Byculla East,Moderate
Byculla East,Jul-Sep,2026,18346.5,Byculla East,Moderate
Byculla East,Oct-Dec,2026,18379.5,Byculla East,Moderate
Byculla East,Jan-Mar,2027,18215,Byculla East,Moderate
Byculla East,Apr-Jun,2027,18332.25,Byculla East,Moderate
Byculla East,Jul-Sep,2027,18274.52,Byculla East,Moderate
Byculla East,Oct-Dec,2027,18350.24,Byculla East,Moderate
Byculla East,Jan-Mar,2028,18101.67,Byculla East,Moderate
Byculla East,Apr-Jun,2028,18258.59,Byculla East,Moderate
Byculla East,Jul-Sep,2028,19075.64,Byculla East,Moderate
Byculla East,Oct-Dec,2028,19543.74,Byculla East,Moderate
Byculla East,Jan-Mar,2029,19550.49,Byculla East,Moderate
Byculla East,Apr-Jun,2029,20146.43,Byculla East,Moderate
Byculla East,Jul-Sep,2029,29828.01,Byculla East,Moderate
Byculla East,Oct-Dec,2029,28977.79,Byculla East,Moderate
Byculla East,Jan-Mar,2030,28361.8,Byculla East,Moderate
Byculla East,Apr-Jun,2030,30365.99,Byculla East,Moderate
Byculla East,Jul-Sep,2030,32608.32,Byculla East,Moderate
Byculla East,Oct-Dec,2030,32798.09,Byculla East,Moderate
Byculla West,Jan-Mar,2024,35067.52,Byculla West,Moderate
Byculla West,Apr-Jun,2024,35730.59,Byculla West,Moderate
Byculla West,Jul-Sep,2024,36478.08,Byculla West,Moderate
Byculla West,Oct-Dec,2024,36300.52,Byculla West,Moderate
Byculla West,Jan-Mar,2025,33409.77,Byculla West,Moderate
Byculla West,Apr-Jun,2025,35891.13,Byculla West,Moderate
Byculla West,Jul-Sep,2025,23608.54,Byculla West,Moderate
Byculla West,Oct-Dec,2025,22468.67,Byculla West,Moderate
Byculla West,Jan-Mar,2026,20345.9,Byculla West,Moderate
Byculla West,Apr-Jun,2026,20376.9,Byculla West,Moderate
Byculla West,Jul-Sep,2026,20236.5,Byculla West,Moderate
Byculla West,Oct-Dec,2026,20301.03,Byculla West,Moderate
Byculla West,Jan-Mar,2027,20180.5,Byculla West,Moderate
Byculla West,Apr-Jun,2027,20248.94,Byculla West,Moderate
Byculla West,Jul-Sep,2027,20310.88,Byculla West,Moderate
Byculla West,Oct-Dec,2027,20521.03,Byculla West,Moderate
Byculla West,Jan-Mar,2028,22653.22,Byculla West,Moderate
Byculla West,Apr-Jun,2028,24871.13,Byculla West,Moderate
Byculla West,Jul-Sep,2028,27240.05,Byculla West,Moderate
Byculla West,Oct-Dec,2028,29881.24,Byculla West,Moderate
Byculla West,Jan-Mar,2029,33212.9,Byculla West,Moderate
Byculla West,Apr-Jun,2029,31833,Byculla West,Moderate
Byculla West,Jul-Sep,2029,33085.38,Byculla West,Moderate
Byculla West,Oct-Dec,2029,33381.17,Byculla West,Moderate
Byculla West,Jan-Mar,2030,35067.52,Byculla West,Moderate
Byculla West,Apr-Jun,2030,35730.59,Byculla West,Moderate
Byculla West,Jul-Sep,2030,36478.08,Byculla West,Moderate
Byculla West,Oct-Dec,2030,36300.52,Byculla West,Moderate
Captain Prakash Pethe Marg,Jan-Mar,2024,37722.74,Captain Prakash Pethe Marg,High
Captain Prakash Pethe Marg,Apr-Jun,2024,37246.6,Captain Prakash Pethe Marg,High
Captain Prakash Pethe Marg,Jul-Sep,2024,25867.31,Captain Prakash Pethe Marg,High
Captain Prakash Pethe Marg,Oct-Dec,2024,42704.02,Captain Prakash Pethe Marg,High
Captain Prakash Pethe Marg,Jan-Mar,2025,51065.1,Captain Prakash Pethe Marg,High
Captain Prakash Pethe Marg,Apr-Jun,2025,46717.92,Captain Prakash Pethe Marg,High
Captain Prakash Pethe Marg,Jul-Sep,2025,23942.31,Captain Prakash Pethe Marg,High
Captain Prakash Pethe Marg,Oct-Dec,2025,24864.98,Captain Prakash Pethe Marg,High
Captain Prakash Pethe Marg,Jan-Mar,2026,21787.28,Captain Prakash Pethe Marg,High
Captain Prakash Pethe Marg,Apr-Jun,2026,21686.88,Captain Prakash Pethe Marg,High
Captain Prakash Pethe Marg,Jul-Sep,2026,19984.62,Captain Prakash Pethe Marg,High
Captain Prakash Pethe Marg,Oct-Dec,2026,21197.36,Captain Prakash Pethe Marg,High
Captain Prakash Pethe Marg,Jan-Mar,2027,18277.58,Captain Prakash Pethe Marg,High
Captain Prakash Pethe Marg,Apr-Jun,2027,18243.29,Captain Prakash Pethe Marg,High
Captain Prakash Pethe Marg,Jul-Sep,2027,18286.51,Captain Prakash Pethe Marg,High
Captain Prakash Pethe Marg,Oct-Dec,2027,18825.5,Captain Prakash Pethe Marg,High
Captain Prakash Pethe Marg,Jan-Mar,2028,18233,Captain Prakash Pethe Marg,High
Captain Prakash Pethe Marg,Apr-Jun,2028,18112,Captain Prakash Pethe Marg,High
Captain Prakash Pethe Marg,Jul-Sep,2028,18364.55,Captain Prakash Pethe Marg,High
Captain Prakash Pethe Marg,Oct-Dec,2028,19052.12,Captain Prakash Pethe Marg,High
Captain Prakash Pethe Marg,Jan-Mar,2029,19504.77,Captain Prakash Pethe Marg,High
Captain Prakash Pethe Marg,Apr-Jun,2029,19865.15,Captain Prakash Pethe Marg,High
Captain Prakash Pethe Marg,Jul-Sep,2029,18611.39,Captain Prakash Pethe Marg,High
Captain Prakash Pethe Marg,Oct-Dec,2029,20798.67,Captain Prakash Pethe Marg,High
Captain Prakash Pethe Marg,Jan-Mar,2030,37722.74,Captain Prakash Pethe Marg,High
Captain Prakash Pethe Marg,Apr-Jun,2030,37246.6,Captain Prakash Pethe Marg,High
Captain Prakash Pethe Marg,Jul-Sep,2030,25867.31,Captain Prakash Pethe Marg,High
Captain Prakash Pethe Marg,Oct-Dec,2030,42704.02,Captain Prakash Pethe Marg,High
CD Barfiwala Road,Jan-Mar,2024,25492.52,CD Barfiwala Road,High
CD Barfiwala Road,Apr-Jun,2024,26440.61,CD Barfiwala Road,High
CD Barfiwala Road,Jul-Sep,2024,26546.32,CD Barfiwala Road,High
CD Barfiwala Road,Oct-Dec,2024,29407.02,CD Barfiwala Road,High
CD Barfiwala Road,Jan-Mar,2025,27145.34,CD Barfiwala Road,High
CD Barfiwala Road,Apr-Jun,2025,27525.438,CD Barfiwala Road,High
CD Barfiwala Road,Jul-Sep,2025,23923.47967,CD Barfiwala Road,High
CD Barfiwala Road,Oct-Dec,2025,23199.48967,CD Barfiwala Road,High
CD Barfiwala Road,Jan-Mar,2026,22065.8,CD Barfiwala Road,High
CD Barfiwala Road,Apr-Jun,2026,22440.49,CD Barfiwala Road,High
CD Barfiwala Road,Jul-Sep,2026,22004.24,CD Barfiwala Road,High
CD Barfiwala Road,Oct-Dec,2026,22167.13,CD Barfiwala Road,High
CD Barfiwala Road,Jan-Mar,2027,22265,CD Barfiwala Road,High
CD Barfiwala Road,Apr-Jun,2027,22406.75,CD Barfiwala Road,High
CD Barfiwala Road,Jul-Sep,2027,22556.07,CD Barfiwala Road,High
CD Barfiwala Road,Oct-Dec,2027,22737,CD Barfiwala Road,High
CD Barfiwala Road,Jan-Mar,2028,22850.65,CD Barfiwala Road,High
CD Barfiwala Road,Apr-Jun,2028,23287.09,CD Barfiwala Road,High
CD Barfiwala Road,Jul-Sep,2028,23624.94833,CD Barfiwala Road,High
CD Barfiwala Road,Oct-Dec,2028,24103.15833,CD Barfiwala Road,High
CD Barfiwala Road,Jan-Mar,2029,24372.45,CD Barfiwala Road,High
CD Barfiwala Road,Apr-Jun,2029,24346.26,CD Barfiwala Road,High
CD Barfiwala Road,Jul-Sep,2029,24289.62,CD Barfiwala Road,High
CD Barfiwala Road,Oct-Dec,2029,24546.58,CD Barfiwala Road,High
CD Barfiwala Road,Jan-Mar,2030,25492.52,CD Barfiwala Road,High
CD Barfiwala Road,Apr-Jun,2030,26440.61,CD Barfiwala Road,High
CD Barfiwala Road,Jul-Sep,2030,26546.32,CD Barfiwala Road,High
CD Barfiwala Road,Oct-Dec,2030,29407.02,CD Barfiwala Road,High
Chakala,Jan-Mar,2024,20844.29,Chakala,Low
Chakala,Apr-Jun,2024,21121.13,Chakala,Low
Chakala,Jul-Sep,2024,21223.46333,Chakala,Low
Chakala,Oct-Dec,2024,21333.84,Chakala,Low
Chakala,Jan-Mar,2025,23365.95667,Chakala,Low
Chakala,Apr-Jun,2025,24109.50095,Chakala,Low
Chakala,Jul-Sep,2025,22103.92529,Chakala,Low
Chakala,Oct-Dec,2025,19371.47667,Chakala,Low
Chakala,Jan-Mar,2026,18933.91,Chakala,Low
Chakala,Apr-Jun,2026,19206.98,Chakala,Low
Chakala,Jul-Sep,2026,19227.79,Chakala,Low
Chakala,Oct-Dec,2026,19478.03,Chakala,Low
Chakala,Jan-Mar,2027,19312.99,Chakala,Low
Chakala,Apr-Jun,2027,19411.42,Chakala,Low
Chakala,Jul-Sep,2027,19100.01,Chakala,Low
Chakala,Oct-Dec,2027,19031.05,Chakala,Low
Chakala,Jan-Mar,2028,19141.42,Chakala,Low
Chakala,Apr-Jun,2028,18961.05,Chakala,Low
Chakala,Jul-Sep,2028,19325.26333,Chakala,Low
Chakala,Oct-Dec,2028,19662.67333,Chakala,Low
Chakala,Jan-Mar,2029,20317.79,Chakala,Low
Chakala,Apr-Jun,2029,20517.3,Chakala,Low
Chakala,Jul-Sep,2029,20515.27667,Chakala,Low
Chakala,Oct-Dec,2029,20732.91,Chakala,Low
Chakala,Jan-Mar,2030,20844.29,Chakala,Low
Chakala,Apr-Jun,2030,21121.13,Chakala,Low
Chakala,Jul-Sep,2030,21223.46333,Chakala,Low
Chakala,Oct-Dec,2030,21333.84,Chakala,Low
Chandavarkar Road,Jan-Mar,2024,20447.91,Chandavarkar Road,High
Chandavarkar Road,Apr-Jun,2024,20564.78,Chandavarkar Road,High
Chandavarkar Road,Jul-Sep,2024,20580.7931,Chandavarkar Road,High
Chandavarkar Road,Oct-Dec,2024,20720.9,Chandavarkar Road,High
Chandavarkar Road,Jan-Mar,2025,21567.06,Chandavarkar Road,High
Chandavarkar Road,Apr-Jun,2025,22128.215,Chandavarkar Road,High
Chandavarkar Road,Jul-Sep,2025,19953.8561,Chandavarkar Road,High
Chandavarkar Road,Oct-Dec,2025,18344.705,Chandavarkar Road,High
Chandavarkar Road,Jan-Mar,2026,17450.08,Chandavarkar Road,High
Chandavarkar Road,Apr-Jun,2026,17531.3,Chandavarkar Road,High
Chandavarkar Road,Jul-Sep,2026,17946.26,Chandavarkar Road,High
Chandavarkar Road,Oct-Dec,2026,18046.93,Chandavarkar Road,High
Chandavarkar Road,Jan-Mar,2027,17931.19,Chandavarkar Road,High
Chandavarkar Road,Apr-Jun,2027,18033.66,Chandavarkar Road,High
Chandavarkar Road,Jul-Sep,2027,18320.24,Chandavarkar Road,High
Chandavarkar Road,Oct-Dec,2027,18465.94,Chandavarkar Road,High
Chandavarkar Road,Jan-Mar,2028,18968.45,Chandavarkar Road,High
Chandavarkar Road,Apr-Jun,2028,18982.58,Chandavarkar Road,High
Chandavarkar Road,Jul-Sep,2028,19223.17667,Chandavarkar Road,High
Chandavarkar Road,Oct-Dec,2028,19313.65667,Chandavarkar Road,High
Chandavarkar Road,Jan-Mar,2029,19687.24,Chandavarkar Road,High
Chandavarkar Road,Apr-Jun,2029,19747.09,Chandavarkar Road,High
Chandavarkar Road,Jul-Sep,2029,19912.79,Chandavarkar Road,High
Chandavarkar Road,Oct-Dec,2029,20190.77,Chandavarkar Road,High
Chandavarkar Road,Jan-Mar,2030,20447.91,Chandavarkar Road,High
Chandavarkar Road,Apr-Jun,2030,20564.78,Chandavarkar Road,High
Chandavarkar Road,Jul-Sep,2030,20580.7931,Chandavarkar Road,High
Chandavarkar Road,Oct-Dec,2030,20720.9,Chandavarkar Road,High
Chandivali,Jan-Mar,2024,19600.28,Chandivali,Moderate
Chandivali,Apr-Jun,2024,19610.11,Chandivali,Moderate
Chandivali,Jul-Sep,2024,19666.84333,Chandivali,Moderate
Chandivali,Oct-Dec,2024,19933.96,Chandivali,Moderate
Chandivali,Jan-Mar,2025,20295.05,Chandivali,Moderate
Chandivali,Apr-Jun,2025,20258.2,Chandivali,Moderate
Chandivali,Jul-Sep,2025,18513.185,Chandivali,Moderate
Chandivali,Oct-Dec,2025,18248.505,Chandivali,Moderate
Chandivali,Jan-Mar,2026,17944,Chandivali,Moderate
Chandivali,Apr-Jun,2026,17932.23,Chandivali,Moderate
Chandivali,Jul-Sep,2026,18220.84,Chandivali,Moderate
Chandivali,Oct-Dec,2026,18123.86,Chandivali,Moderate
Chandivali,Jan-Mar,2027,17824.71,Chandivali,Moderate
Chandivali,Apr-Jun,2027,17788.94,Chandivali,Moderate
Chandivali,Jul-Sep,2027,17819.57,Chandivali,Moderate
Chandivali,Oct-Dec,2027,17858.78,Chandivali,Moderate
Chandivali,Jan-Mar,2028,18735.84,Chandivali,Moderate
Chandivali,Apr-Jun,2028,18537.1,Chandivali,Moderate
Chandivali,Jul-Sep,2028,18661.32,Chandivali,Moderate
Chandivali,Oct-Dec,2028,18905.01,Chandivali,Moderate
Chandivali,Jan-Mar,2029,19048.19,Chandivali,Moderate
Chandivali,Apr-Jun,2029,19077.18,Chandivali,Moderate
Chandivali,Jul-Sep,2029,19210.56,Chandivali,Moderate
Chandivali,Oct-Dec,2029,19492.22,Chandivali,Moderate
Chandivali,Jan-Mar,2030,19600.28,Chandivali,Moderate
Chandivali,Apr-Jun,2030,19610.11,Chandivali,Moderate
Chandivali,Jul-Sep,2030,19666.84333,Chandivali,Moderate
Chandivali,Oct-Dec,2030,19933.96,Chandivali,Moderate
Chandivali Farm Road,Jan-Mar,2024,19344.46,Chandivali Farm Road,High
Chandivali Farm Road,Apr-Jun,2024,19435.39,Chandivali Farm Road,High
Chandivali Farm Road,Jul-Sep,2024,19555.54,Chandivali Farm Road,High
Chandivali Farm Road,Oct-Dec,2024,19749.85,Chandivali Farm Road,High
Chandivali Farm Road,Jan-Mar,2025,18262.28,Chandivali Farm Road,High
Chandivali Farm Road,Apr-Jun,2025,18038.8,Chandivali Farm Road,High
Chandivali Farm Road,Jul-Sep,2025,16694.965,Chandivali Farm Road,High
Chandivali Farm Road,Oct-Dec,2025,16837.47,Chandivali Farm Road,High
Chandivali Farm Road,Jan-Mar,2026,16412.98,Chandivali Farm Road,High
Chandivali Farm Road,Apr-Jun,2026,16654.33,Chandivali Farm Road,High
Chandivali Farm Road,Jul-Sep,2026,17012.49,Chandivali Farm Road,High
Chandivali Farm Road,Oct-Dec,2026,17067.44,Chandivali Farm Road,High
Chandivali Farm Road,Jan-Mar,2027,16972.53,Chandivali Farm Road,High
Chandivali Farm Road,Apr-Jun,2027,17169.54,Chandivali Farm Road,High
Chandivali Farm Road,Jul-Sep,2027,17378.29,Chandivali Farm Road,High
Chandivali Farm Road,Oct-Dec,2027,17520.77,Chandivali Farm Road,High
Chandivali Farm Road,Jan-Mar,2028,18205.46,Chandivali Farm Road,High
Chandivali Farm Road,Apr-Jun,2028,18028.47,Chandivali Farm Road,High
Chandivali Farm Road,Jul-Sep,2028,18040.58,Chandivali Farm Road,High
Chandivali Farm Road,Oct-Dec,2028,18322.6,Chandivali Farm Road,High
Chandivali Farm Road,Jan-Mar,2029,18728.84,Chandivali Farm Road,High
Chandivali Farm Road,Apr-Jun,2029,18728.26,Chandivali Farm Road,High
Chandivali Farm Road,Jul-Sep,2029,18929.73,Chandivali Farm Road,High
Chandivali Farm Road,Oct-Dec,2029,19131.93,Chandivali Farm Road,High
Chandivali Farm Road,Jan-Mar,2030,19344.46,Chandivali Farm Road,High
Chandivali Farm Road,Apr-Jun,2030,19435.39,Chandivali Farm Road,High
Chandivali Farm Road,Jul-Sep,2030,19555.54,Chandivali Farm Road,High
Chandivali Farm Road,Oct-Dec,2030,19749.85,Chandivali Farm Road,High
Charkop Gaon,Jan-Mar,2024,15522.72,Charkop Gaon,Moderate
Charkop Gaon,Apr-Jun,2024,15476.88,Charkop Gaon,Moderate
Charkop Gaon,Jul-Sep,2024,15558.53,Charkop Gaon,Moderate
Charkop Gaon,Oct-Dec,2024,15725.55,Charkop Gaon,Moderate
Charkop Gaon,Jan-Mar,2025,16418.74,Charkop Gaon,Moderate
Charkop Gaon,Apr-Jun,2025,16355.04,Charkop Gaon,Moderate
Charkop Gaon,Jul-Sep,2025,16015.31,Charkop Gaon,Moderate
Charkop Gaon,Oct-Dec,2025,16046.74,Charkop Gaon,Moderate
Charkop Gaon,Jan-Mar,2026,13791.79,Charkop Gaon,Moderate
Charkop Gaon,Apr-Jun,2026,13946.17,Charkop Gaon,Moderate
Charkop Gaon,Jul-Sep,2026,14265.32,Charkop Gaon,Moderate
Charkop Gaon,Oct-Dec,2026,14291.03,Charkop Gaon,Moderate
Charkop Gaon,Jan-Mar,2027,14293.99,Charkop Gaon,Moderate
Charkop Gaon,Apr-Jun,2027,14393.37,Charkop Gaon,Moderate
Charkop Gaon,Jul-Sep,2027,14597.93,Charkop Gaon,Moderate
Charkop Gaon,Oct-Dec,2027,14618.28,Charkop Gaon,Moderate
Charkop Gaon,Jan-Mar,2028,14689.8,Charkop Gaon,Moderate
Charkop Gaon,Apr-Jun,2028,14742.23,Charkop Gaon,Moderate
Charkop Gaon,Jul-Sep,2028,14583.37,Charkop Gaon,Moderate
Charkop Gaon,Oct-Dec,2028,14864.49,Charkop Gaon,Moderate
Charkop Gaon,Jan-Mar,2029,14669.34,Charkop Gaon,Moderate
Charkop Gaon,Apr-Jun,2029,14669.82,Charkop Gaon,Moderate
Charkop Gaon,Jul-Sep,2029,14496.48,Charkop Gaon,Moderate
Charkop Gaon,Oct-Dec,2029,14833.83,Charkop Gaon,Moderate
