location,quarter,year,predicted_price,Locality,Risk
Adi Shankaracharya Marg,Jan-Mar,2028,28549,Adi Shankaracharya Marg,Moderate
Adi Shankaracharya Marg,Apr-Jun,2028,28680,Adi Shankaracharya Marg,Moderate
Adi Shankaracharya Marg,Jul-Sep,2028,28204,Adi Shankaracharya Marg,Moderate
Adi Shankaracharya Marg,Oct-Dec,2028,28268,Adi Shankaracharya Marg,Moderate
Adi Shankaracharya Marg,Jan-Mar,2029,28727.5,Adi Shankaracharya Marg,Moderate
Adi Shankaracharya Marg,Apr-Jun,2029,28806,Adi Shankaracharya Marg,Moderate
Adi Shankaracharya Marg,Jul-Sep,2029,29003.5,Adi Shankaracharya Marg,Moderate
Adi Shankaracharya Marg,Oct-Dec,2029,28892.09,Adi Shankaracharya Marg,Moderate
Adi Shankaracharya Marg,Jan-Mar,2030,29703.5,Adi Shankaracharya Marg,Moderate
Adi Shankaracharya Marg,Apr-Jun,2030,29824,Adi Shankaracharya Marg,Moderate
Adi Shankaracharya Marg,Jul-Sep,2030,29744.5,Adi Shankaracharya Marg,Moderate
Adi Shankaracharya Marg,Oct-Dec,2030,29883,Adi Shankaracharya Marg,Moderate
Agrawal Road,Jan-Mar,2024,19960.38,Agrawal Road,High
Agrawal Road,Apr-Jun,2024,19881.59,Agrawal Road,High
Agrawal Road,Jul-Sep,2024,19590.84,Agrawal Road,High
Agrawal Road,Oct-Dec,2024,19638.84,Agrawal Road,High
Agrawal Road,Jan-Mar,2025,19825,Agrawal Road,High
Agrawal Road,Apr-Jun,2025,19374.5,Agrawal Road,High
Agrawal Road,Jul-Sep,2025,17730.22,Agrawal Road,High
Agrawal Road,Oct-Dec,2025,17260.6,Agrawal Road,High
Agrawal Road,Jan-Mar,2026,17310.5,Agrawal Road,High
Agrawal Road,Apr-Jun,2026,17259.5,Agrawal Road,High
Agrawal Road,Jul-Sep,2026,17290,Agrawal Road,High
Agrawal Road,Oct-Dec,2026,17230.4,Agrawal Road,High
Agrawal Road,Jan-Mar,2027,17511,Agrawal Road,High
Agrawal Road,Apr-Jun,2027,17527.5,Agrawal Road,High
Agrawal Road,Jul-Sep,2027,17605.5,Agrawal Road,High
Agrawal Road,Oct-Dec,2027,17690.77,Agrawal Road,High
Agrawal Road,Jan-Mar,2028,18826.92,Agrawal Road,High
Agrawal Road,Apr-Jun,2028,18511.5,Agrawal Road,High
Agrawal Road,Jul-Sep,2028,18386.5,Agrawal Road,High
Agrawal Road,Oct-Dec,2028,18431.5,Agrawal Road,High
