Locality,Start_Price,End_Price,CAGR (%)
adi shankaracharya marg,26700.0,22462.0,-2.84
agripada,30110.0,24323.0,-3.49
breach candy,59257.0,55347.0,-1.13
colaba,41130.0,39681.0,-0.6
cuffe parade,59784.0,56281.0,-1.0
cumballa hill,57295.0,54931.0,-0.7
juhu tara road,32800.0,26879.0,-3.26
mahim,35887.0,35776.0,-0.05
mumbai central,30502.0,29224.0,-0.71
pedder road,54215.0,53678.0,-0.17
vikhroli,20483.0,19777.0,-0.58
vikhroli east,19995.0,19005.0,-0.84
worli hill road,37524.0,20225.0,-9.79
