,Locality,Start_Price,End_Price,CAGR,CAGR (%)
159,mulund east,16964.0,19357.0,0.022237081904177947,2.22
160,mulund west,16554.0,21008.0,0.04051168002279515,4.05
161,mumbai central,30502.0,29224.0,-0.007108276794047574,-0.71
162,nahur east,15185.0,19213.0,0.03999215770714337,4.0
163,naigaon east,4322.0,5920.0,0.05383549926527986,5.38
164,naigaon palghar,4348.0,5887.0,0.051802220658659914,5.18
165,nala sopara,4521.0,5436.0,0.03119505920942145,3.12
166,nalasopara east,4940.0,5235.0,0.009713794439577095,0.97
167,nalasopara west,4296.0,5345.0,0.03708393330023574,3.71
168,napean sea road,63090.0,65669.0,0.006699792876757815,0.67
169,new link road,14202.0,20298.0,0.061330447108928876,6.13
170,orlem,15830.0,19979.0,0.03955819251468684,3.96
171,oshiwara,23440.0,24539.0,0.00766585401273745,0.77
172,pali hill,43397.0,48653.0,0.019236542776165377,1.92
173,pant nagar,17911.0,21722.0,0.03267420561786216,3.27
174,parel,27618.0,33244.0,0.03138348910609268,3.14
175,pedder road,54215.0,53678.0,-0.0016576893092717926,-0.17
176,powai,18752.0,24010.0,0.04205528596649577,4.21
177,prabhadevi,37487.0,48077.0,0.0423400993530918,4.23
178,raheja vihar,18794.0,20756.0,0.016687318737751644,1.67
179,rajendra nagar,15452.0,21779.0,0.05886893184247466,5.89
180,saki vihar road,17228.0,23118.0,0.05023357794259309,5.02
181,samata nagar thakur village,14823.0,22305.0,0.07047785261230288,7.05
182,sangeet samrat naushad ali road,15101.0,43398.0,0.1923689768128165,19.24
183,santacruz,25486.0,26796.0,0.008388881252339386,0.84
184,santacruz east,21584.0,24530.0,0.021553076331441323,2.16
185,santacruz west,35658.0,38745.0,0.01393422033531011,1.39
186,sector 8 charkop,13271.0,14638.0,0.016474174316948975,1.65
187,sewri,29083.0,33114.0,0.021869429439696608,2.19
188,shastri nagar andheri west,21450.0,27513.0,0.042361691444152916,4.24
189,shell colony,17901.0,20450.0,0.022435695577860626,2.24
190,shimpoli,17967.0,24621.0,0.053913627299431166,5.39
191,shivaji park,37047.0,43781.0,0.02822645124356815,2.82
192,siddharth nagar borivali east,15797.0,20225.0,0.042043027564034,4.2
193,sion,23099.0,28643.0,0.0365037730915192,3.65
194,sion trombay road,20624.0,22940.0,0.01789602623599662,1.79
195,sunder nagar malad west,18303.0,20404.0,0.018275995226653352,1.83
196,tardeo,51034.0,51886.0,0.0027632987239638584,0.28
197,thakur complex,16128.0,18075.0,0.019177041273792605,1.92
198,thakur village,16534.0,21948.0,0.04834164026531229,4.83
199,tilak nagar chembur,15996.0,19915.0,0.03719755870284658,3.72
200,upper govind nagar,15750.0,17293.0,0.015698857387612897,1.57
201,vakola,19161.0,22402.0,0.02638769549240405,2.64
202,vasai,5381.0,6847.0,0.04097321746784455,4.1
203,vasai east,4932.0,6259.0,0.04051173023498178,4.05
204,vasai west,6191.0,7411.0,0.030431994455251354,3.04
205,veera desai industrial estate,20614.0,25137.0,0.033614347054563565,3.36
206,veera desai road,20204.0,24339.0,0.031519783723664485,3.15
207,versova andheri west,23080.0,28076.0,0.03319724201248886,3.32
208,versova marg,19367.0,26711.0,0.05504576641239001,5.5
209,vikhroli,20483.0,19777.0,-0.005828883666934681,-0.58
210,vikhroli east,19995.0,19005.0,-0.00842764326280454,-0.84
211,vikhroli west,15825.0,23250.0,0.066219300449607,6.62
212,vile parle,29875.0,37619.0,0.03916191634164612,3.92
213,vile parle east,28969.0,31754.0,0.015416359537391289,1.54
214,vile parle west,32241.0,41482.0,0.0428980704298354,4.29
215,virar,4530.0,6008.0,0.048186640889915644,4.82
216,virar east,4305.0,4829.0,0.01932812726797395,1.93
217,virar west,4677.0,6151.0,0.04671808088864715,4.67
218,wadala,22128.0,27155.0,0.03470831881308656,3.47
219,wadala east,22070.0,25993.0,0.027643182922251874,2.76
220,walkeshwar,58646.0,67250.0,0.023078556643013837,2.31
221,worli,36792.0,50083.0,0.05274411699572368,5.27
222,worli hill road,37524.0,20225.0,-0.09788223798761209,-9.79
223,worli sea face,42892.0,57585.0,0.05032131480902069,5.03
224,yari road,23280.0,23586.0,0.0021788189846640993,0.22
