,location,quarter,year,min_price,max_price,avg_price,latitude,longitude,Risk
803,11th Main Road Malleshwaram,Oct-Dec,2028,5527.281691,9309.531792,7545.72,13.00387758,77.57542389,Moderate
804,11th Main Road Malleshwaram,Jan-Mar,2029,5614.618326,9456.6318,7664.95,13.00387758,77.57542389,Moderate
805,11th Main Road Malleshwaram,Apr-Jun,2029,5695.633439,9593.084547,7775.55,13.00387758,77.57542389,Moderate
806,11th Main Road Malleshwaram,Jul-Sep,2029,5767.565483,9714.238793,7873.75,13.00387758,77.57542389,Moderate
807,11th Main Road Malleshwaram,Oct-Dec,2029,5957.701945,10034.48327,8133.32,13.00387758,77.57542389,Moderate
808,11th Main Road Malleshwaram,Jan-Mar,2030,6293.284708,10599.70114,8591.45,13.00387758,77.57542389,Moderate
809,11th Main Road Malleshwaram,Apr-Jun,2030,6410.214567,10796.64465,8751.08,13.00387758,77.57542389,Moderate
810,11th Main Road Malleshwaram,Jul-Sep,2030,5948.565648,10019.09512,8120.847333,13.00387758,77.57542389,Moderate
811,11th Main Road Malleshwaram,Oct-Dec,2030,6528.241719,10995.43632,8912.208,13.00387758,77.57542389,Moderate
812,Aga Abbas Ali Road,Jan-Mar,2024,9788.173276,16359.68914,13112.83,12.977376,77.6176664,Low
840,Aga Abbas Ali Road,Apr-Jun,2024,9864.550831,16487.34453,13215.15,12.977376,77.6176664,Low
868,Aga Abbas Ali Road,Jul-Sep,2024,10099.87163,16880.65337,13530.4,12.977376,77.6176664,Low
896,Aga Abbas Ali Road,Oct-Dec,2024,9540.580713,15945.8696,12781.14,12.977376,77.6176664,Low
924,Aga Abbas Ali Road,Jan-Mar,2025,9961.924749,16650.09267,13345.598,12.977376,77.6176664,Low
952,Aga Abbas Ali Road,Apr-Jun,2025,9965.868534,16656.68421,13350.88133,12.977376,77.6176664,Low
980,Aga Abbas Ali Road,Jul-Sep,2025,9242.744329,15448.07389,12382.14033,12.977376,77.6176664,Low
1008,Aga Abbas Ali Road,Oct-Dec,2025,6658.940374,11129.57356,8920.72,12.977376,77.6176664,Low
1036,Aga Abbas Ali Road,Jan-Mar,2026,7528.339689,12582.66416,10085.42,12.977376,77.6176664,Low
1064,Aga Abbas Ali Road,Apr-Jun,2026,7556.503539,12629.73646,10123.15,12.977376,77.6176664,Low
1092,Aga Abbas Ali Road,Jul-Sep,2026,7669.218656,12818.12547,10274.15,12.977376,77.6176664,Low
1120,Aga Abbas Ali Road,Oct-Dec,2026,7790.107485,13020.1758,10436.1,12.977376,77.6176664,Low
1148,Aga Abbas Ali Road,Jan-Mar,2027,7921.685588,13240.0919,10612.37,12.977376,77.6176664,Low
1176,Aga Abbas Ali Road,Apr-Jun,2027,8004.74394,13378.91339,10723.64,12.977376,77.6176664,Low
1204,Aga Abbas Ali Road,Jul-Sep,2027,8121.952732,13574.81301,10880.66,12.977376,77.6176664,Low
1232,Aga Abbas Ali Road,Oct-Dec,2027,8288.830821,13853.72855,11104.22,12.977376,77.6176664,Low
1260,Aga Abbas Ali Road,Jan-Mar,2028,8646.682656,14451.83247,11583.62,12.977376,77.6176664,Low
1288,Aga Abbas Ali Road,Apr-Jun,2028,8663.477955,14479.90368,11606.12,12.977376,77.6176664,Low
1316,Aga Abbas Ali Road,Jul-Sep,2028,8787.404866,14687.03178,11772.14,12.977376,77.6176664,Low
1344,Aga Abbas Ali Road,Oct-Dec,2028,8849.084668,14790.12174,11854.77,12.977376,77.6176664,Low
1372,Aga Abbas Ali Road,Jan-Mar,2029,9215.393869,15402.36107,12345.5,12.977376,77.6176664,Low
