Locality,Risk,location,year,quarter,avg_price,max_price,min_price,Location,Latitude,Longitude
Alaknanda Don Bosco Road,Moderate,Alaknanda Don Bosco Road,2026,Jul-Sep,10723.6,12605.34376,8738.314677,Alaknanda Don Bosco Road,28.52857776,77.24572029
Alaknanda Don Bosco Road,Moderate,Alaknanda Don Bosco Road,2026,Oct-Dec,10827.6,12727.59335,8823.060913,Alaknanda Don Bosco Road,28.52857776,77.24572029
Alaknanda Don Bosco Road,Moderate,Alaknanda Don Bosco Road,2027,Jan-Mar,11381.3,13378.4549,9274.253128,Alaknanda Don Bosco Road,28.52857776,77.24572029
Alaknanda Don Bosco Road,Moderate,Alaknanda Don Bosco Road,2027,Apr-Jun,11385.5,13383.3919,9277.675572,Alaknanda Don Bosco Road,28.52857776,77.24572029
Alaknanda Don Bosco Road,Moderate,Alaknanda Don Bosco Road,2027,Jul-Sep,11409.2,13411.2507,9296.987935,Alaknanda Don Bosco Road,28.52857776,77.24572029
Alaknanda Don Bosco Road,Moderate,Alaknanda Don Bosco Road,2027,Oct-Dec,11513.3,13533.61784,9381.815657,Alaknanda Don Bosco Road,28.52857776,77.24572029
Alaknanda Don Bosco Road,Moderate,Alaknanda Don Bosco Road,2028,Jan-Mar,11616.9,13655.39725,9466.235945,Alaknanda Don Bosco Road,28.52857776,77.24572029
Alaknanda Don Bosco Road,Moderate,Alaknanda Don Bosco Road,2028,Apr-Jun,11642.1,13685.01926,9486.770609,Alaknanda Don Bosco Road,28.52857776,77.24572029
Alaknanda Don Bosco Road,Moderate,Alaknanda Don Bosco Road,2028,Jul-Sep,11795.7,13865.57251,9611.93428,Alaknanda Don Bosco Road,28.52857776,77.24572029
Alaknanda Don Bosco Road,Moderate,Alaknanda Don Bosco Road,2028,Oct-Dec,11917.8,14009.09824,9711.429619,Alaknanda Don Bosco Road,28.52857776,77.24572029
Alaknanda Don Bosco Road,Moderate,Alaknanda Don Bosco Road,2029,Jan-Mar,12319.82,14481.66345,10039.02271,Alaknanda Don Bosco Road,28.52857776,77.24572029
Alaknanda Don Bosco Road,Moderate,Alaknanda Don Bosco Road,2029,Apr-Jun,12507.73,14702.54731,10192.14449,Alaknanda Don Bosco Road,28.52857776,77.24572029
Alaknanda Don Bosco Road,Moderate,Alaknanda Don Bosco Road,2029,Jul-Sep,12771.53,15012.63811,10407.10657,Alaknanda Don Bosco Road,28.52857776,77.24572029
Alaknanda Don Bosco Road,Moderate,Alaknanda Don Bosco Road,2029,Oct-Dec,12879.53,15139.58961,10495.11228,Alaknanda Don Bosco Road,28.52857776,77.24572029
Alaknanda Don Bosco Road,Moderate,Alaknanda Don Bosco Road,2030,Jan-Mar,13214.47,15533.30383,10768.04405,Alaknanda Don Bosco Road,28.52857776,77.24572029
Alaknanda Don Bosco Road,Moderate,Alaknanda Don Bosco Road,2030,Apr-Jun,13251.03,15576.27926,10797.83561,Alaknanda Don Bosco Road,28.52857776,77.24572029
Alaknanda Don Bosco Road,Moderate,Alaknanda Don Bosco Road,2030,Jul-Sep,13552.47,15930.61501,11043.46931,Alaknanda Don Bosco Road,28.52857776,77.24572029
Alaknanda Don Bosco Road,Moderate,Alaknanda Don Bosco Road,2030,Oct-Dec,13544.04,15920.70574,11036.59998,Alaknanda Don Bosco Road,28.52857776,77.24572029
Asaf Ali Road,Moderate,Asaf Ali Road,2024,Jan-Mar,9512.96,11684.95251,7721.183596,Asaf Ali Road,28.64415057,77.22682684
Asaf Ali Road,Moderate,Asaf Ali Road,2024,Apr-Jun,9500,11669.03349,7710.664626,Asaf Ali Road,28.64415057,77.22682684
Asaf Ali Road,Moderate,Asaf Ali Road,2024,Jul-Sep,9642.36,11843.89703,7826.210965,Asaf Ali Road,28.64415057,77.22682684
Asaf Ali Road,Moderate,Asaf Ali Road,2024,Oct-Dec,9744.58,11969.45583,7909.177716,Asaf Ali Road,28.64415057,77.22682684
Asaf Ali Road,Moderate,Asaf Ali Road,2025,Jan-Mar,10439.34,12822.84296,8473.078911,Asaf Ali Road,28.64415057,77.22682684
Asaf Ali Road,Moderate,Asaf Ali Road,2025,Apr-Jun,10581.04,12996.8958,8588.089561,Asaf Ali Road,28.64415057,77.22682684
Asaf Ali Road,Moderate,Asaf Ali Road,2025,Jul-Sep,11146.94,13692.0017,9047.401679,Asaf Ali Road,28.64415057,77.22682684
Asaf Ali Road,Moderate,Asaf Ali Road,2025,Oct-Dec,11681.32,14348.39098,9481.130622,Asaf Ali Road,28.64415057,77.22682684
Asaf Ali Road,Moderate,Asaf Ali Road,2026,Jan-Mar,7212.9,8859.744386,5854.342409,Asaf Ali Road,28.64415057,77.22682684
Asaf Ali Road,Moderate,Asaf Ali Road,2026,Apr-Jun,7227.9,8878.169176,5866.517142,Asaf Ali Road,28.64415057,77.22682684
Asaf Ali Road,Moderate,Asaf Ali Road,2026,Jul-Sep,7211.4,8857.901908,5853.124935,Asaf Ali Road,28.64415057,77.22682684
Asaf Ali Road,Moderate,Asaf Ali Road,2026,Oct-Dec,7342.58,9019.032835,5959.597039,Asaf Ali Road,28.64415057,77.22682684
Asaf Ali Road,Moderate,Asaf Ali Road,2027,Jan-Mar,7554.6,9279.461096,6131.68284,Asaf Ali Road,28.64415057,77.22682684
Asaf Ali Road,Moderate,Asaf Ali Road,2027,Apr-Jun,7577.2,9307.221113,6150.026106,Asaf Ali Road,28.64415057,77.22682684
Asaf Ali Road,Moderate,Asaf Ali Road,2027,Jul-Sep,7687.1,9442.213406,6239.226321,Asaf Ali Road,28.64415057,77.22682684
Asaf Ali Road,Moderate,Asaf Ali Road,2027,Oct-Dec,7713.1,9474.149708,6260.329192,Asaf Ali Road,28.64415057,77.22682684
Asaf Ali Road,Moderate,Asaf Ali Road,2028,Jan-Mar,7893.18,9695.34545,6406.490928,Asaf Ali Road,28.64415057,77.22682684
Asaf Ali Road,Moderate,Asaf Ali Road,2028,Apr-Jun,7974.78,9795.576306,6472.721479,Asaf Ali Road,28.64415057,77.22682684
Asaf Ali Road,Moderate,Asaf Ali Road,2028,Jul-Sep,8025.68,9858.097759,6514.034408,Asaf Ali Road,28.64415057,77.22682684
Asaf Ali Road,Moderate,Asaf Ali Road,2028,Oct-Dec,8165.58,10029.93963,6627.58409,Asaf Ali Road,28.64415057,77.22682684
Asaf Ali Road,Moderate,Asaf Ali Road,2029,Jan-Mar,8731.6,10725.19293,7086.993605,Asaf Ali Road,28.64415057,77.22682684
